Date,cha049
7/24/2017,0.443666667
7/25/2017,0.443666667
7/26/2017,0.443666667
7/27/2017,0.564666667
7/28/2017,0.645333333
7/29/2017,0.645333333
7/30/2017,0.645333333
7/31/2017,0.645333333
8/1/2017,0.645333333
8/2/2017,0.685666667
8/3/2017,0.645333333
8/4/2017,0.645333333
8/5/2017,0.645333333
8/6/2017,0.645333333
8/7/2017,0.645333333
8/8/2017,0.645333333
8/9/2017,0.685666667
8/10/2017,0.685666667
8/11/2017,0.685666667
8/12/2017,0.685666667
8/13/2017,0.685666667
8/14/2017,0.685666667
8/15/2017,0.726
8/16/2017,0.726
8/17/2017,0.726
8/18/2017,0.726
8/19/2017,0.726
8/20/2017,0.726
8/21/2017,0.726
8/22/2017,0.726
8/23/2017,0.726
8/24/2017,0.726
8/25/2017,0.726
8/26/2017,0.726
8/27/2017,0.726
8/28/2017,0.726
8/29/2017,0.766333333
8/30/2017,0.726
8/31/2017,0.726
9/1/2017,0.726
9/2/2017,0.726
9/3/2017,0.726
9/4/2017,0.726
9/5/2017,0.564666667
9/6/2017,0.564666667
9/7/2017,0.564666667
9/8/2017,0.564666667
9/9/2017,0.564666667
9/10/2017,0.524333333
9/11/2017,1.129333333
9/12/2017,0.968
9/13/2017,0.766333333
9/14/2017,0.403333333
9/15/2017,-999
9/16/2017,-999
9/17/2017,-999
9/18/2017,-999
9/19/2017,-999
9/20/2017,-999
9/21/2017,-999
9/22/2017,-999
9/23/2017,-999
9/24/2017,-999
9/25/2017,-999
9/26/2017,-999
9/27/2017,-999
9/28/2017,-999
9/29/2017,-999
9/30/2017,-999
10/1/2017,-999
10/2/2017,-999
10/3/2017,-999
10/4/2017,-999
10/5/2017,-999
10/6/2017,-999
10/7/2017,-999
10/8/2017,-999
10/9/2017,-999
10/10/2017,-999
10/11/2017,-999
10/12/2017,-999
10/13/2017,-999
10/14/2017,-999
10/15/2017,-999
10/16/2017,-999
10/17/2017,-999
10/18/2017,-999
10/19/2017,-999
10/20/2017,-999
10/21/2017,-999
10/22/2017,-999
10/23/2017,-999
10/24/2017,-999
10/25/2017,-999
10/26/2017,-999
10/27/2017,-999
10/28/2017,-999
10/29/2017,-999
10/30/2017,-999
10/31/2017,-999
11/1/2017,-999
11/2/2017,-999
11/3/2017,-999
11/4/2017,-999
11/5/2017,-999
11/6/2017,-999
11/7/2017,-999
11/8/2017,-999
11/9/2017,-999
11/10/2017,-999
11/11/2017,-999
11/12/2017,-999
11/13/2017,-999
11/14/2017,-999
11/15/2017,-999
11/16/2017,-999
11/17/2017,-999
11/18/2017,-999
11/19/2017,-999
11/20/2017,-999
11/21/2017,-999
11/22/2017,-999
11/23/2017,-999
11/24/2017,-999
11/25/2017,-999
11/26/2017,-999
11/27/2017,-999
11/28/2017,-999
11/29/2017,-999
11/30/2017,-999
12/1/2017,-999
12/2/2017,-999
12/3/2017,-999
12/4/2017,-999
12/5/2017,-999
12/6/2017,-999
12/7/2017,-999
12/8/2017,-999
12/9/2017,-999
12/10/2017,-999
12/11/2017,-999
12/12/2017,-999
12/13/2017,-999
12/14/2017,-999
12/15/2017,-999
12/16/2017,-999
12/17/2017,-999
12/18/2017,-999
12/19/2017,-999
12/20/2017,-999
12/21/2017,-999
12/22/2017,-999
12/23/2017,-999
12/24/2017,-999
12/25/2017,-999
12/26/2017,-999
12/27/2017,-999
12/28/2017,-999
12/29/2017,-999
12/30/2017,-999
12/31/2017,-999
