iteration,total_runs,obs_realization,par_realization,cha049,obd_irr_paddy
5,622,44,44,792.534,1002.78
5,622,45,45,809.038,1004.5
5,622,46,46,838.52,979.598
5,622,47,47,813.529,1023.62
5,622,48,48,797.44,1010.95
5,622,49,49,753.549,1013.23
5,622,50,50,792.718,1011.29
5,622,51,51,769.632,1003.97
5,622,52,52,786.317,998.349
5,622,53,53,976.799,1117.24
5,622,54,54,819.122,988.268
5,622,55,55,749.5,993.029
5,622,56,56,757.61,1012.88
5,622,57,57,782.89,1022.04
5,622,58,58,959.789,1058.59
5,622,59,59,782.186,1022.68
5,622,60,60,779.234,1006.64
5,622,61,61,766.995,1008.27
5,622,62,62,804.672,987.839
5,622,63,63,821.962,988.45
5,622,64,64,876.219,1002.8
5,622,65,65,781.979,1019.13
5,622,66,66,804.525,1002.73
5,622,67,67,764.578,1021.92
5,622,68,68,786.176,1018.28
5,622,69,69,842.06,984.77
5,622,70,70,784.06,1008.13
5,622,71,71,776.711,1025.96
5,622,72,72,768.546,1015.3
5,622,73,73,788.004,1024.25
5,622,74,74,796.831,999.163
5,622,75,75,777.976,1002.73
5,622,76,76,777.377,1021.84
6,731,0,0,785.292,996.085
6,731,1,1,758.567,1001.64
6,731,2,2,748.762,986.728
6,731,3,3,764.624,1006.64
6,731,4,4,778.429,997.043
6,731,5,5,750.953,982.564
6,731,6,6,773.933,963.25
6,731,7,7,742.059,971.443
6,731,8,8,714.896,1000.38
6,731,9,9,762.157,976.848
6,731,10,10,792.035,1000.84
6,731,11,11,787.652,985.451
6,731,12,12,763.177,966.546
6,731,13,13,743.833,998.092
6,731,14,14,764.225,1001.65
6,731,15,15,758.927,977.237
6,731,16,16,774.657,979.02
6,731,17,17,756.652,1006.39
6,731,18,18,962.716,1062.41
6,731,19,19,763.023,1004.36
6,731,20,20,781.565,994.054
6,731,21,21,773.056,923.807
6,731,22,22,727.574,977.523
6,731,23,23,796.771,996.036
6,731,24,24,786.137,1006.64
6,731,25,25,769.285,1009.96
6,731,26,26,720.392,933.078
6,731,27,27,786.613,1000.7
6,731,28,28,779.394,1002.81
6,731,29,29,781.371,1009.6
6,731,30,30,768.844,959.186
6,731,31,31,764.204,981.807
6,731,32,32,758.947,983.445
6,731,33,33,733.12,1001.94
6,731,34,34,800.777,994.677
6,731,35,35,749.997,983.034
6,731,36,36,788.966,995.775
6,731,37,37,758.369,1005.54
6,731,38,38,786.368,995.898
6,731,39,39,751.396,992.418
6,731,40,40,760.21,958.323
6,731,41,41,769.872,1000.76
6,731,42,42,804.552,1030.19
6,731,43,43,751.605,941.322
6,731,44,44,785.027,961.374
6,731,45,45,764.905,1002.55
6,731,46,46,763.286,1004.65
6,731,47,47,777.275,994.187
6,731,48,48,749.144,985.273
6,731,49,49,781.188,972.051
6,731,50,50,755.169,1009.31
6,731,51,51,794.392,957.46
6,731,52,52,739.107,993.464
6,731,53,53,776.017,982.254
6,731,54,54,787.263,996.361
6,731,55,55,755.259,994.962
6,731,56,56,766.015,996.797
6,731,57,57,784.623,988.272
6,731,58,58,729.228,973.769
6,731,59,59,748.077,993.835
6,731,60,60,765.471,970.336
6,731,61,61,789.414,998.058
6,731,62,62,748.156,1004.19
6,731,63,63,759.46,999.277
6,731,64,64,767.006,968.325
6,731,65,65,760.176,1011.14
6,731,66,66,780.83,1013.92
6,731,67,67,779.847,1003.4
6,731,68,68,784.308,1013.2
6,731,69,69,783.744,942.98
6,731,70,70,761.695,1013.28
6,731,71,71,766.778,1007.8
6,731,72,72,757.902,958.138
6,731,73,73,796.529,983.219
6,731,74,74,779.661,999.711
6,731,75,75,771.81,968.362
6,731,76,76,758.592,963.91
7,840,0,0,737.545,894.129
7,840,1,1,772.592,906.637
7,840,2,2,771.667,884.878
7,840,3,3,739.935,894.661
7,840,4,4,748.542,898.49
7,840,5,5,770.019,897.998
7,840,6,6,743.637,888.138
7,840,7,7,777.016,883.193
7,840,8,8,734.589,887.367
7,840,9,9,757.531,879.038
7,840,10,10,789.214,889.336
7,840,11,11,744.971,869.213
7,840,12,12,699.856,901.738
7,840,13,13,740.525,884.404
7,840,14,14,769.444,900.779
7,840,15,15,735.993,888.456
7,840,16,16,740.37,888.604
7,840,17,17,737.779,907.582
7,840,18,18,764.483,883.524
7,840,19,19,741.498,891.407
7,840,20,20,765.318,894.849
7,840,21,21,709.017,860.951
7,840,22,22,739.999,895.884
7,840,23,23,739.054,893.04
7,840,24,24,746.524,885.391
7,840,25,25,745.517,906.705
7,840,26,26,748.86,864.105
7,840,27,27,742.754,876.484
7,840,28,28,759.854,922.573
7,840,29,29,740.523,890.816
7,840,30,30,766.44,889.279
7,840,31,31,744.877,902.254
7,840,32,32,767.764,892.64
7,840,33,33,747.922,903.491
7,840,34,34,751.507,870.318
7,840,35,35,775.268,893.742
7,840,36,36,742.427,906.079
7,840,37,37,744.081,881.059
7,840,38,38,745.307,905.399
7,840,39,39,773.624,895.418
7,840,40,40,723.404,881.791
7,840,41,41,742.192,915.547
7,840,42,42,735.872,897.331
7,840,43,43,758.309,869.653
7,840,44,44,750.491,882.422
7,840,45,45,774.197,885.572
7,840,46,46,762.233,905.974
7,840,47,47,737.341,882.278
7,840,48,48,737.371,893.5
7,840,49,49,742.454,881.978
7,840,50,50,770.937,885.908
7,840,51,51,747.222,887.865
7,840,52,52,743.318,894.621
7,840,53,53,745.91,888.796
7,840,54,54,740.114,901.815
7,840,55,55,770.398,907.977
7,840,56,56,771.779,870.228
7,840,57,57,753.661,891.434
7,840,58,58,745.451,886.582
7,840,59,59,750.592,883.658
7,840,60,60,737.664,884.53
7,840,61,61,780.751,889.309
7,840,62,62,744.705,897.935
7,840,63,63,771.627,893.825
7,840,64,64,764.097,892.922
7,840,65,65,772.636,904.784
7,840,66,66,747.203,921.341
7,840,67,67,745.744,884.56
7,840,68,68,735.196,899.012
7,840,69,69,745.229,874.146
7,840,70,70,748.407,894.152
7,840,71,71,734.464,879.466
7,840,72,72,749.7,879.16
7,840,73,73,743.451,886.803
7,840,74,74,741.509,882.568
7,840,75,75,753.022,875.825
7,840,76,76,760.82,889.284
8,949,0,0,760.86,863.936
8,949,1,1,716.599,869.274
8,949,2,2,741.071,859.107
8,949,3,3,773.968,862.474
8,949,4,4,768.823,865.654
8,949,5,5,723.047,865.222
8,949,6,6,771.876,860.72
8,949,7,7,770.485,859.373
8,949,8,8,761.667,863.228
8,949,9,9,743.172,852.545
8,949,10,10,759.542,860.881
8,949,11,11,735.052,858.308
8,949,12,12,735.539,867.753
8,949,13,13,775.093,856.681
8,949,14,14,740.207,863.871
8,949,15,15,748.863,863.944
8,949,16,16,735.4,858.609
8,949,17,17,710.206,871.102
8,949,18,18,758.529,854.264
8,949,19,19,763.782,865.425
8,949,20,20,744.29,863.316
8,949,21,21,744.45,860.08
8,949,22,22,761.007,865.529
8,949,23,23,754.491,864.92
8,949,24,24,768.803,850.098
8,949,25,25,762.113,869.646
8,949,26,26,778.218,859.892
8,949,27,27,765.235,858.459
8,949,28,28,757.746,874.772
8,949,29,29,760.699,860.213
8,949,30,30,751.338,857.182
8,949,31,31,789.325,865.248
8,949,32,32,704.871,858.458
8,949,33,33,743.366,866.623
8,949,34,34,753.524,838.735
8,949,35,35,755.278,860.899
8,949,36,36,765.333,872.1
8,949,37,37,704.738,856.326
8,949,38,38,748.723,862.228
8,949,39,39,765.38,861.576
8,949,40,40,748.312,856.274
8,949,41,41,740.335,872.361
8,949,42,42,720.153,865.428
8,949,43,43,783.448,859.719
8,949,44,44,748.629,849.383
8,949,45,45,767.527,859.222
8,949,46,46,738.048,868.125
8,949,47,47,781.806,864.858
8,949,48,48,720.131,860.355
8,949,49,49,736.048,861.489
8,949,50,50,733.267,857.194
8,949,51,51,778.079,858.524
8,949,52,52,718.4,865.541
8,949,53,53,770.008,859.717
8,949,54,54,750.164,868.186
8,949,55,55,731.873,869.491
8,949,56,56,772.341,860.1
8,949,57,57,758.625,863.638
8,949,58,58,750.567,857.363
8,949,59,59,775.348,861.04
8,949,60,60,740.271,859.41
8,949,61,61,788.75,864.106
8,949,62,62,759.551,862.545
8,949,63,63,737.115,862.009
8,949,64,64,764.051,860.124
8,949,65,65,747.53,866.887
8,949,66,66,709.012,877.551
8,949,67,67,760.271,855.703
8,949,68,68,754.532,866.866
8,949,69,69,779.244,856.724
8,949,70,70,735.187,864.851
8,949,71,71,767.108,862.892
8,949,72,72,742.532,859.605
8,949,73,73,723.982,870.321
8,949,74,74,757.708,860.618
8,949,75,75,776.819,856.088
8,949,76,76,747.32,853.621
9,985,0,0,760.86,863.936
9,985,1,1,716.599,869.274
9,985,2,2,741.071,859.107
9,985,3,3,773.968,862.474
9,985,4,4,768.823,865.654
9,985,5,5,723.047,865.222
9,985,6,6,771.876,860.72
9,985,7,7,770.485,859.373
9,985,8,8,761.667,863.228
9,985,9,9,743.172,852.545
9,985,10,10,759.542,860.881
9,985,11,11,735.052,858.308
9,985,12,12,735.539,867.753
9,985,13,13,775.093,856.681
9,985,14,14,740.207,863.871
9,985,15,15,748.863,863.944
9,985,16,16,735.4,858.609
9,985,17,17,710.206,871.102
9,985,18,18,758.529,854.264
9,985,19,19,763.782,865.425
9,985,20,20,744.29,863.316
9,985,21,21,744.45,860.08
9,985,22,22,761.007,865.529
9,985,23,23,754.491,864.92
9,985,24,24,768.803,850.098
9,985,25,25,762.113,869.646
9,985,26,26,778.218,859.892
9,985,27,27,765.235,858.459
9,985,28,28,757.746,874.772
9,985,29,29,775.903,853.53
9,985,30,30,751.338,857.182
9,985,31,31,789.325,865.248
9,985,32,32,704.871,858.458
9,985,33,33,743.366,866.623
9,985,34,34,753.524,838.735
9,985,35,35,755.278,860.899
9,985,36,36,765.333,872.1
9,985,37,37,704.738,856.326
9,985,38,38,748.723,862.228
9,985,39,39,765.38,861.576
9,985,40,40,748.312,856.274
9,985,41,41,740.335,872.361
9,985,42,42,720.153,865.428
9,985,43,43,783.448,859.719
9,985,44,44,748.629,849.383
9,985,45,45,767.527,859.222
9,985,46,46,738.048,868.125
9,985,47,47,785.224,856.363
9,985,48,48,732.384,854.18
9,985,49,49,718.499,857.605
9,985,50,50,733.267,857.194
9,985,51,51,778.079,858.524
9,985,52,52,718.4,865.541
9,985,53,53,770.008,859.717
9,985,54,54,750.164,868.186
9,985,55,55,731.873,869.491
9,985,56,56,772.341,860.1
9,985,57,57,758.625,863.638
9,985,58,58,750.567,857.363
9,985,59,59,775.348,861.04
9,985,60,60,740.271,859.41
9,985,61,61,788.75,864.106
9,985,62,62,759.551,862.545
9,985,63,63,737.115,862.009
9,985,64,64,764.051,860.124
9,985,65,65,747.53,866.887
9,985,66,66,709.012,877.551
9,985,67,67,760.271,855.703
9,985,68,68,754.532,866.866
9,985,69,69,779.244,856.724
9,985,70,70,735.187,864.851
9,985,71,71,767.108,862.892
9,985,72,72,742.532,859.605
9,985,73,73,723.982,870.321
9,985,74,74,757.708,860.618
9,985,75,75,776.819,856.088
9,985,76,76,747.32,853.621
10,1094,0,0,779.585,859.662
10,1094,1,1,735.906,865.716
10,1094,2,2,747.562,855.923
10,1094,3,3,729.596,859.302
10,1094,4,4,759.477,861.787
10,1094,5,5,746.086,861.691
10,1094,6,6,742.863,858.322
10,1094,7,7,740.848,854.983
10,1094,8,8,739.184,860.733
10,1094,9,9,762.235,849.67
10,1094,10,10,739.305,858.271
10,1094,11,11,743.207,852.809
10,1094,12,12,764.567,863.681
10,1094,13,13,714.487,853.957
10,1094,14,14,741.464,860.618
10,1094,15,15,740.909,856.483
10,1094,16,16,740.789,854.763
10,1094,17,17,759.127,867.309
10,1094,18,18,772.912,853.846
10,1094,19,19,734.105,860.05
10,1094,20,20,757.412,860.669
10,1094,21,21,750.353,856.042
10,1094,22,22,782.363,863.364
10,1094,23,23,752.461,863.006
10,1094,24,24,746.256,849.981
10,1094,25,25,715.303,866.676
10,1094,26,26,742.687,856.57
10,1094,27,27,759.615,853.759
10,1094,28,28,755.235,869.21
10,1094,29,29,768.9,852.065
10,1094,30,30,744.046,854.148
10,1094,31,31,741.903,859.59
10,1094,32,32,747.169,857.298
10,1094,33,33,750.031,866.084
10,1094,34,34,784.082,838.892
10,1094,35,35,758.87,856.274
10,1094,36,36,759.891,866.459
10,1094,37,37,761.009,853.739
10,1094,38,38,755.458,860.219
10,1094,39,39,784.128,855.764
10,1094,40,40,757.888,853.457
10,1094,41,41,742.854,867.665
10,1094,42,42,778.939,860.573
10,1094,43,43,740.755,854.131
10,1094,44,44,740.008,848.103
10,1094,45,45,789.578,857.923
10,1094,46,46,748.158,865.076
10,1094,47,47,780.24,852.786
10,1094,48,48,728.071,852.978
