 prueba                    SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
   365    12    31  2022      70     700  aqu700                    0.000          4.628        266.600          1.494          0.075         12.203          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      71     710  aqu710                    0.000          4.636        266.213          0.000          0.000         10.784          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      72     720  aqu720                    0.000          4.628        266.595          1.494          0.075         12.216          0.338          0.000          0.500          0.000          2.873          2.868          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      73     730  aqu730                    0.000          4.636        266.210          0.025          0.001         10.811          0.006          0.000          0.500          0.000          0.055          0.055          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      74     740  aqu740                    0.000          4.628        266.595          1.494          0.075         12.216          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      75     770  aqu770                    0.000          4.628        266.600          1.494          0.075         12.203          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      76     780  aqu780                    0.000          4.636        266.213          0.000          0.000         10.784          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      77     790  aqu790                    0.000          4.628        266.600          1.494          0.075         12.203          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      78      63  aqu_deep063               0.000         19.922       2390.643          0.005          0.000          0.000          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      79      74  aqu_deep074               0.000         19.917       2390.803          0.079          0.000          0.000          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      80      79  aqu_deep079               0.000         19.922       2390.644          0.006          0.000          0.000          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
