 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                    in_sed         out_sed        fp_dep         ch_dep        bank_ero        bed_ero         in_no3        in_orgn        out_no3       out_orgn         fp_no3        bank_no3       bed_no3        fp_orgn        ch_orgn        bank_orgn      bed_orgn       in_solp        in_orgp        out_solp       out_orgp       fp_solp        bank_solp      bed_solp       fp_orgp        ch_orgp        bank_orgp      bed_orgp       no3_orgn       solp_orgp      
                                                                    tons            tons          tons           tons            tons           tons           tons           tons           tons          tons           tons           tons           tons           tons            tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons         
   365    12    31  2001      22      22  cha022               0.3915E+01     0.1130E+02     0.2669E+00     0.1884E-01     0.7667E+01     0.0000E+00     0.1447E+05     0.7572E+02     0.1445E+05     0.7372E+02     0.2359E+02     0.0000E+00     0.0000E+00     0.1794E+01     0.2107E+00     0.0000E+00     0.0000E+00     0.4237E+02     0.1227E+02     0.4130E+02     0.1196E+02     0.1073E+01     0.0000E+00     0.0000E+00     0.2796E+00     0.3457E-01     0.0000E+00     0.0000E+00     0.7014E+03     0.1478E+01
   365    12    31  2001      23      23  cha023               0.1143E+03     0.1149E+06     0.0000E+00     0.4496E+00     0.1147E+06     0.0000E+00     0.2168E+06     0.8294E+03     0.2168E+06     0.8277E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1617E+01     0.0000E+00     0.0000E+00     0.1225E+03     0.1342E+03     0.1225E+03     0.1339E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2616E+00     0.0000E+00     0.0000E+00     0.5449E+04     0.3064E+01
   365    12    31  2001      24      24  cha024               0.3149E+01     0.5047E+05     0.0000E+00     0.2107E-01     0.5047E+05     0.0000E+00     0.1652E+06     0.7149E+02     0.1652E+06     0.7125E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2385E+00     0.0000E+00     0.0000E+00     0.6871E+02     0.9904E+01     0.6871E+02     0.9871E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3305E-01     0.0000E+00     0.0000E+00     0.8295E+04     0.3441E+01
   365    12    31  2001      25      25  cha025               0.5018E+02     0.2713E+03     0.0000E+00     0.2021E+00     0.2213E+03     0.0000E+00     0.5066E+05     0.7583E+03     0.5066E+05     0.7568E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1534E+01     0.0000E+00     0.0000E+00     0.6505E+02     0.1058E+03     0.6505E+02     0.1056E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2139E+00     0.0000E+00     0.0000E+00     0.1095E+04     0.1401E+01
   365    12    31  2001      26      26  cha026               0.1559E+07     0.1558E+07     0.0000E+00     0.4061E+03     0.6027E+02     0.3803E+01     0.3067E+07     0.3614E+05     0.3067E+07     0.3614E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4105E+01     0.0000E+00     0.0000E+00     0.6843E+04     0.5178E+04     0.6843E+04     0.5177E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5883E+00     0.0000E+00     0.0000E+00     0.1885E+05     0.4105E+02
   365    12    31  2001      27      27  cha027               0.1561E+07     0.1559E+07     0.0000E+00     0.2368E+04     0.2985E+03     0.2105E+02     0.3066E+07     0.3596E+05     0.3066E+07     0.3593E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2371E+02     0.0000E+00     0.0000E+00     0.6829E+04     0.5153E+04     0.6829E+04     0.5150E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3399E+01     0.0000E+00     0.0000E+00     0.1079E+06     0.2345E+03
   365    12    31  2001      28      28  cha028               0.1561E+07     0.1561E+07     0.2367E+02     0.1451E+03     0.2143E+01     0.6126E+00     0.3052E+07     0.3353E+05     0.3052E+07     0.3352E+05     0.1681E+03     0.0000E+00     0.0000E+00     0.1456E+02     0.1265E+01     0.0000E+00     0.0000E+00     0.6663E+04     0.4825E+04     0.6662E+04     0.4823E+04     0.1024E+01     0.0000E+00     0.0000E+00     0.2077E+01     0.1822E+00     0.0000E+00     0.0000E+00     0.6559E+04     0.1379E+02
   365    12    31  2001      29      29  cha029               0.1562E+07     0.1561E+07     0.0000E+00     0.8573E+03     0.1827E+03     0.8895E+01     0.3052E+07     0.3354E+05     0.3052E+07     0.3353E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8085E+01     0.0000E+00     0.0000E+00     0.6657E+04     0.4826E+04     0.6657E+04     0.4825E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1164E+01     0.0000E+00     0.0000E+00     0.3864E+05     0.8235E+02
   365    12    31  2001      30      30  cha030               0.1563E+07     0.1562E+07     0.0000E+00     0.7708E+03     0.1157E+03     0.6704E+01     0.3028E+07     0.3318E+05     0.3028E+07     0.3318E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7125E+01     0.0000E+00     0.0000E+00     0.6552E+04     0.4777E+04     0.6552E+04     0.4776E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1026E+01     0.0000E+00     0.0000E+00     0.3416E+05     0.7207E+02
   365    12    31  2001      31      31  cha031               0.1565E+07     0.1562E+07     0.0000E+00     0.3306E+04     0.6870E+03     0.2997E+02     0.3004E+07     0.3167E+05     0.3004E+07     0.3164E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2932E+02     0.0000E+00     0.0000E+00     0.6428E+04     0.4553E+04     0.6428E+04     0.4549E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4217E+01     0.0000E+00     0.0000E+00     0.1405E+06     0.2935E+03
