 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor      n_tot          p_tot         dep_bf        velav_bf        
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons       kg_N           kg_P            m/s             m/s        
   365    12    31  2001      23      23  cha023               0.9436E-01     0.0000E+00     0.9337E-01     0.1827E+00     0.6600E+02     0.7613E+05     0.7613E+05     0.2603E+00     0.0000E+00     0.0000E+00     0.7607E+05     0.0000E+00     0.1040E+02     0.5228E+00     0.3757E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.9177E+02     0.0000E+00     0.9081E+02     0.2930E-01     0.4882E+03     0.3790E+00     0.5228E+00     0.0000E+00
   365    12    31  2001      24      24  cha024               0.5455E-01     0.0000E+00     0.5179E-01     0.9942E-01     0.1952E+01     0.3360E+05     0.3360E+05     0.1311E-01     0.0000E+00     0.0000E+00     0.3360E+05     0.0000E+00     0.1349E+02     0.6217E+00     0.2123E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.3440E+02     0.0000E+00     0.3265E+02     0.1682E-02     0.3347E+03     0.1124E+00     0.6217E+00     0.0000E+00
   365    12    31  2001      25      25  cha025               0.2963E-01     0.0000E+00     0.2920E-01     0.6216E-01     0.3222E+02     0.1792E+03     0.1792E+03     0.1307E+00     0.0000E+00     0.0000E+00     0.1471E+03     0.0000E+00     0.7573E+01     0.4230E+00     0.1226E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.4891E+02     0.0000E+00     0.4821E+02     0.1298E-01     0.1169E+03     0.2775E+00     0.4230E+00     0.0000E+00
   365    12    31  2001      26      26  cha026               0.3413E+01     0.0000E+00     0.3412E+01     0.4602E+01     0.1036E+07     0.1036E+07     0.1036E+07     0.2703E+03     0.0000E+00     0.2383E+01     0.3970E+02     0.0000E+00     0.7514E+02     0.1953E+01     0.2230E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1230E+03     0.0000E+00     0.1229E+03     0.1422E+03     0.6750E+04     0.1953E+02     0.1953E+01     0.0000E+00
   365    12    31  2001      27      27  cha027               0.3397E+01     0.0000E+00     0.3392E+01     0.4583E+01     0.1038E+07     0.1036E+07     0.1036E+07     0.1576E+04     0.0000E+00     0.1318E+02     0.1965E+03     0.0000E+00     0.7493E+02     0.1950E+01     0.2130E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1230E+03     0.0000E+00     0.1228E+03     0.8386E+03     0.6747E+04     0.1945E+02     0.1950E+01     0.0000E+00
   365    12    31  2001      28      28  cha028               0.3314E+01     0.0000E+00     0.3314E+01     0.4486E+01     0.1038E+07     0.1038E+07     0.1038E+07     0.9667E+02     0.2367E+02     0.3955E+00     0.1398E+01     0.0000E+00     0.7299E+02     0.1916E+01     0.1140E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1253E+03     0.0000E+00     0.1253E+03     0.5021E+02     0.6713E+04     0.1852E+02     0.1916E+01     0.0000E+00
   365    12    31  2001      29      29  cha029               0.3315E+01     0.0000E+00     0.3312E+01     0.4487E+01     0.1038E+07     0.1038E+07     0.1038E+07     0.5706E+03     0.0000E+00     0.5760E+01     0.1203E+03     0.0000E+00     0.7299E+02     0.1916E+01     0.2530E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1253E+03     0.0000E+00     0.1253E+03     0.2987E+03     0.6713E+04     0.1852E+02     0.1916E+01     0.0000E+00
   365    12    31  2001      30      30  cha030               0.3269E+01     0.0000E+00     0.3267E+01     0.4433E+01     0.1039E+07     0.1038E+07     0.1038E+07     0.5131E+03     0.0000E+00     0.4173E+01     0.7607E+02     0.0000E+00     0.7203E+02     0.1899E+01     0.2300E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1264E+03     0.0000E+00     0.1263E+03     0.2660E+03     0.6658E+04     0.1825E+02     0.1899E+01     0.0000E+00
   365    12    31  2001      31      31  cha031               0.3197E+01     0.0000E+00     0.3189E+01     0.4348E+01     0.1040E+07     0.1039E+07     0.1039E+07     0.2201E+04     0.0000E+00     0.1857E+02     0.4517E+03     0.0000E+00     0.7045E+02     0.1871E+01     0.2570E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1282E+03     0.0000E+00     0.1279E+03     0.1134E+04     0.6604E+04     0.1760E+02     0.1871E+01     0.0000E+00
   365    12    31  2001      32      32  cha032               0.3175E+01     0.0000E+00     0.3174E+01     0.4322E+01     0.1041E+07     0.1040E+07     0.1040E+07     0.1318E+03     0.0000E+00     0.1089E+01     0.2654E+02     0.0000E+00     0.6983E+02     0.1860E+01     0.2570E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1292E+03     0.0000E+00     0.1292E+03     0.6626E+02     0.6558E+04     0.1750E+02     0.1860E+01     0.0000E+00
