 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap    wet_oflo    wet_stor
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
    366    12    31  2000     25       0  rtu0250              570.568       0.000       0.000      49.515      10.573      60.088      72.636     399.875      43.296     313.133      43.445      49.530      47.261      87.065     288.211     148.434      17.088       0.000       0.000       0.000     966.551       0.000       0.000       0.000       0.000       0.000      49.530       0.000       0.000      10.573       0.000       0.000     163.526      38.316      38.301     201.146      15.176      27.719      13.622       0.000       0.000       0.000
    366    12    31  2000     26       0  rtu0260              390.692       0.000       0.000     160.287       0.198     160.486      59.951     222.626       4.573      13.205     204.848     160.292      86.149      86.562     273.724     162.378       7.172       0.000       0.000       0.000    1081.272       0.000       0.000       0.000       0.000       0.000     160.292       0.000       0.000       0.198       0.000       0.000     239.555       0.382       0.378     187.162       0.999       2.439       0.275       0.000       0.000       0.000
    366    12    31  2000     27       0  rtu0270              390.692       0.000       0.000      33.744       0.239      33.983       5.817     318.343      15.455      83.661     219.227      33.755      65.527      73.766     168.751      83.623      10.823       0.000       0.000       0.000    1081.469       0.000       0.000       0.000       0.000       0.000      33.755       0.000       0.000       0.239       0.000       0.000      62.457       0.765       0.754      94.985       1.262       0.867       0.545       0.000       0.000       0.000
    366    12    31  2000     28       0  rtu0280              390.700       0.000       0.000    2159.656       0.841    2160.497     248.264     416.531      22.696     186.624     207.211    2162.850      80.490      77.405     407.227     331.401      54.751       0.000       0.000       0.000    1081.338       0.000       0.000       0.000       0.000       0.000    2162.850       0.000       0.000       0.841       0.000       0.000    2767.730    2014.431    2011.239     329.822    1089.927      30.434    1018.702       0.000       0.000       0.000
    366    12    31  2000     29       0  rtu0290              414.914       0.000       0.000     980.786      15.873     996.659     385.826     432.571      16.152     121.070     295.350     981.447      86.378      87.459     613.817     481.816      51.436       0.000       0.000       0.000    1081.357       0.000       0.000       0.000       0.000       0.000     981.447       0.000       0.000      15.873       0.000       0.000    1927.593     776.220     775.568     526.358     202.530      92.508     158.705       0.000       0.000       0.000
    366    12    31  2000     30       0  rtu0300              504.910       0.000       0.000     683.092       6.132     689.224     207.201     364.313      14.327     107.645     242.342     683.690      82.246      95.547     440.027     314.637      32.880       0.000       0.000       0.000    1081.186       0.000       0.000       0.000       0.000       0.000     683.690       0.000       0.000       6.132       0.000       0.000    1101.145     472.969     472.385     344.480     226.945      47.310     179.881       0.000       0.000       0.000
    366    12    31  2000     31       0  rtu0310              504.900       0.000       0.000      55.632       5.037      60.670     144.627     395.279      30.124     228.975     136.181      55.633      56.623      86.726     274.521     167.290      20.583       0.000       0.000       0.000    1081.662       0.000      20.117       0.000       0.000       0.000      55.633       0.000       0.000       5.037       0.000       0.000     256.771      10.604      10.603     187.796      15.850      14.081      10.842       0.000       0.000       0.000
    366    12    31  2000     32       0  rtu0320              504.910       0.000       0.000     635.027      99.789     734.816     329.873     606.735      48.145     521.519      37.071     635.027      60.012     108.878     455.093     441.753      35.278       0.000       0.000       0.000    1081.502       0.000       0.000       0.000       0.000       0.000     635.027       0.000       0.000      99.789       0.000       0.000    1513.115     601.054     601.054     346.215     240.491     264.362     226.161       0.000       0.000       0.000
    366    12    31  2000     33       0  rtu0330              504.910       0.000       0.000       3.118       7.845      10.963     170.413     533.781      32.514     312.257     189.011       3.117      56.508      91.454     325.265     285.244      17.643       0.000       0.000       0.000    1081.443       0.000       0.000       0.000       0.000       0.000       3.117       0.000       0.000       7.845       0.000       0.000     444.152       0.000       0.000     233.810       0.300      37.588       0.000       0.000       0.000       0.000
    366    12    31  2000     34       0  rtu0340              504.895       0.000       0.000      94.555       4.919      99.474     183.167     485.764      43.199     391.936      50.629      94.730      56.405      83.215     296.424     222.201      23.660       0.000       0.000       0.000    1081.636       0.000       0.000       0.000       0.000       0.000      94.730       0.000       0.000       4.919       0.000       0.000     476.965      51.206      51.067     213.210      93.193      22.498      63.058       0.000       0.000       0.000
