 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp       strss        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
    365    12    31  2001     50       0  rtu0500                2.760   51688.516       0.000    2531.200      15.234      50.250     140.659     130.694       0.000       0.000       0.000      83.870     195.314       0.000      20.178      10.831      15.505      16.580       3.498       0.761       0.463       0.000       0.000       0.000       0.000
    365    12    31  2001     51       0  rtu0510                2.453   52736.012       0.000    2509.323      15.178     105.647      48.640     130.693       0.000       0.000       0.000      81.055     177.266       0.000      20.177      10.831      15.504      16.580       3.498       0.761       0.463       0.000       0.000       0.000       0.000
    365    12    31  2001     52       0  rtu0520                1.354   26275.158    1018.293    1944.580      11.531      49.138      27.000     102.732       0.000       0.228       0.000      40.424     139.023       0.000      14.523       8.315      11.419      16.479       2.386       0.717       0.323       0.000       0.000       0.000       0.000
    365    12    31  2001     53       0  rtu0530                0.369   15550.065       0.000    1375.819      15.277      20.614     112.436      61.150       0.000       0.000       0.000      18.352     220.584       0.000      20.105      10.890      15.497      16.580       3.498       0.762       0.473       0.000       0.000       0.000       0.000
    365    12    31  2001     54       0  rtu0540                2.240   49054.801      57.093    2359.156      11.597     115.899       4.561     154.321       0.000       0.014       0.000      75.524     166.001       0.000      14.523       8.316      11.419      16.479       2.386       0.717       0.323       0.000       0.000       0.000       0.000
    365    12    31  2001     55       0  rtu0550                1.726   34922.418     286.550    1951.526      11.526      75.304      39.916     113.136       0.050       0.163       0.000      54.156     146.949       0.000      14.508       8.320      11.414      16.479       2.386       0.719       0.323       0.000       0.000       0.000       0.000
    365    12    31  2001     56       0  rtu0560                1.871   38013.516       0.000    2085.057      15.213      90.209       3.445      75.344       0.000       0.000       0.000      58.706     135.276       0.000      20.178      10.831      15.505      16.580       3.498       0.761       0.463       0.000       0.000       0.000       0.000
    365    12    31  2001     57       0  rtu0570                2.270   49955.832      11.478    2457.146      11.598     115.906      36.343     158.265       0.012       0.019       0.000      77.792     154.316       0.000      14.524       8.316      11.420      16.480       2.386       0.717       0.323       0.000       0.000       0.000       0.000
    365    12    31  2001     58       0  rtu0580                2.161   45656.012     442.272    2395.266      11.600     108.272      30.319     136.994       0.281       0.078       0.000      70.614     135.424       0.000      14.523       8.315      11.419      16.479       2.386       0.717       0.323       0.000       0.000       0.000       0.000
    365    12    31  2001     59       0  rtu0590                0.209       7.799       3.814     621.812      11.515       0.000      43.106      22.720       0.000       1.056       0.000       0.000     153.995       0.000      14.523       8.315      11.419      16.479       2.386       0.717       0.323       0.000       0.000       0.000       0.000
    365    12    31  2001     60       0  rtu0600                1.287   24098.916     502.406    1704.952      11.548      43.961      69.060      97.977       0.000       0.376       0.000      37.371     147.579       0.000      14.524       8.316      11.420      16.479       2.386       0.717       0.323       0.000       0.000       0.000       0.000
    365    12    31  2001     61       0  rtu0610                1.229   29027.436     159.994    1484.763      11.523      80.026      62.866     101.553       0.000       0.036       0.000      41.099     119.811       0.000      14.524       8.316      11.420      16.479       2.386       0.717       0.323       0.000       0.000       0.000       0.000
    365    12    31  2001     62       0  rtu0620                1.242   21439.152     560.401    1979.293      11.543      39.686      94.310     110.107       0.000       0.945       0.000      33.203     208.263       0.000      14.523       8.315      11.419      16.479       2.386       0.717       0.323       0.000       0.000       0.000       0.000
    365    12    31  2001     63       0  rtu0630                1.654   32987.395     890.006    2204.756      11.562      74.485      54.413     123.286       0.044       0.246       0.000      49.020     148.747       0.000      14.523       8.315      11.419      16.479       2.386       0.717       0.323       0.000       0.000       0.000       0.000
    365    12    31  2001     64       0  rtu0640                2.187   51646.762       0.000    2518.838      12.132      84.391       1.778     128.165       0.000       0.000       0.000      76.124     204.067       0.000      16.531       8.366      12.449      15.839       4.526       0.737       0.480       0.000       0.000       0.000       0.000
    365    12    31  2001     65       0  rtu0650                1.953   47500.547       0.000    2331.581      12.330      64.899      16.752     113.009       0.000       0.000       0.000      70.166     190.749       0.000      17.035       8.379      12.707      15.678       5.064       0.742       0.520       0.000       0.000       0.000       0.000
    365    12    31  2001     66       0  rtu0660                0.892   18343.281       0.000     864.277      12.467       0.000      80.980      49.200       0.000       0.000       0.000      23.280     248.922       0.000      17.036       8.379      12.708      15.679       5.064       0.742       0.520       0.000       0.000       0.000       0.000
    365    12    31  2001     67       0  rtu0670                2.018   48697.512       0.666    2417.631      12.262      79.267       0.288     117.298       0.000       0.000       0.000      69.816     183.084       0.000      17.036       8.379      12.708      15.679       5.064       0.742       0.520       0.000       0.000       0.000       0.000
    365    12    31  2001     68       0  rtu0680                1.934   38218.977      58.566    2016.046      15.231      72.083      33.218      82.964       0.000       0.037       0.000      61.730     105.133       0.000      20.177      10.831      15.504      16.580       3.498       0.761       0.463       0.000       0.000       0.000       0.000
    365    12    31  2001     69       0  rtu0690                2.162   41251.469     247.921    2346.097      15.236      92.419      17.772      74.889       0.001       0.133       0.000      66.078      63.079       0.000      20.177      10.831      15.504      16.579       3.498       0.761       0.463       0.000       0.000       0.000       0.000
    365    12    31  2001     70       0  rtu0700                1.398   26928.719     642.556    1805.324      15.204      68.872       0.783      58.725       0.000       0.213       0.000      41.224      30.351       0.000      20.150      10.853      15.502      16.579       3.498       0.761       0.467       0.000       0.000       0.000       0.000
    365    12    31  2001     71       0  rtu0710                2.274   44116.012     425.942    2543.294      14.442      95.301       1.031     102.584       0.000       0.208       0.000      67.901      35.844       0.000      21.237       8.668      14.953      15.696       2.911       0.756       0.451       0.000       0.000       0.000       0.000
    365    12    31  2001     72       0  rtu0720                1.028   16357.880    1026.294    1654.972      12.229      28.886      21.848      57.638       0.000       0.455       0.000      23.486      81.597       0.000      21.752       5.718      13.735      11.394       2.321       0.751       0.410       0.000       0.000       0.000       0.000
    365    12    31  2001     73       0  rtu0730                0.877   20069.674     576.431    2175.527      15.192      54.606       4.306      71.346       0.009       0.383       0.000      35.620      47.966       0.000      20.177      10.831      15.504      16.579       3.498       0.761       0.463       0.000       0.000       0.000       0.000
    365    12    31  2001     74       0  rtu0740                2.176   52197.895       0.000    2563.630      12.283      67.930       4.494     122.999       0.000       0.000       0.000      77.176     214.952       0.000      17.036       8.379      12.708      15.679       5.064       0.742       0.520       0.000       0.000       0.000       0.000
    365    12    31  2001     75       0  rtu0750                2.169   51921.516       0.000    2558.712      12.259      72.285       2.376     122.999       0.000       0.000       0.000      75.920     235.878       0.000      17.036       8.379      12.708      15.679       5.064       0.742       0.520       0.000       0.000       0.000       0.000
    365    12    31  2001     76       0  rtu0760                2.038   39418.664      39.510    2049.813      15.216      87.968       2.120      74.629       0.003       0.013       0.000      69.202      69.847       0.000      20.172      10.838      15.505      16.581       3.498       0.761       0.464       0.000       0.000       0.000       0.000
    365    12    31  2001     77       0  rtu0770                1.502   29169.242     392.605    2043.392      15.157      85.467       0.441      63.100       0.006       0.177       0.000      44.409      26.964       0.000      20.112      10.882      15.497      16.579       3.498       0.762       0.472       0.000       0.000       0.000       0.000
    365    12    31  2001     78       0  rtu0780                0.382   12959.324       0.000    1675.956      15.270      16.447     104.399      52.651       0.000       0.000       0.000      12.900     353.288       0.000      20.105      10.890      15.497      16.580       3.498       0.762       0.473       0.000       0.000       0.000       0.000
    365    12    31  2001     79       0  rtu0790                1.813   40982.637      43.612    2440.177      15.198      83.993       3.519     104.271       0.010       0.017       0.000      70.608     137.021       0.000      20.177      10.831      15.504      16.580       3.498       0.761       0.463       0.000       0.000       0.000       0.000
    365    12    31  2001     80       0  rtu0800                1.955   39044.316     285.917    2160.084      15.187      88.826       0.109      84.326       0.000       0.080       0.000      60.590      38.600       0.000      20.177      10.831      15.504      16.579       3.498       0.761       0.463       0.000       0.000       0.000       0.000
    365    12    31  2001     81       0  rtu0810                2.036   36943.008     575.018    2344.683      14.895      52.789      53.901     103.157       0.000       0.224       0.000      58.624     138.259       0.000      20.324      10.354      15.339      16.096       3.388       0.760       0.458       0.000       0.000       0.000       0.000
    365    12    31  2001     82       0  rtu0820                1.761   40279.855     277.131    2585.652      14.490      72.629       4.048      88.647       0.004       0.091       0.000      65.237     152.870       0.000      22.601       9.320      15.960      11.395       2.321       0.728       0.508       0.000       0.000       0.000       0.000
    365    12    31  2001     83       0  rtu0830                1.563   26147.162     664.881    1872.023      12.253      46.332      44.221      73.740       0.014       0.405       0.000      37.745     127.484       0.000      21.752       5.718      13.735      11.394       2.321       0.751       0.410       0.000       0.000       0.000       0.000
    365    12    31  2001     84       0  rtu0840                1.866   30670.348     617.531    2117.089      13.557      35.682      89.900      74.849       0.000       0.373       0.000      43.118     181.422       0.000      22.231       7.753      14.992      11.394       2.321       0.738       0.465       0.000       0.000       0.000       0.000
    365    12    31  2001     85       0  rtu0850                1.908   41363.426     327.003    2285.941      11.559      96.872      71.163     140.870       3.796       0.179       0.000      61.869     179.140       0.000      14.524       8.316      11.420      16.479       2.386       0.717       0.323       0.000       0.000       0.000       0.000
