 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap    wet_oflo    wet_stor
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
    365    12    31  2001     25       0  rtu0250              535.074       0.828       0.828      32.009      16.908      48.917     106.903     456.192      34.077     375.111      47.003      32.009      47.216      87.065     123.617     156.388      19.374       0.000       0.000       0.000     965.144       0.000       0.000       0.000       0.000       0.000      32.009       0.000       0.000      16.908       0.000       0.000      95.196      21.442      21.442      18.251       8.920      43.038       7.692       0.000       0.000       0.000
    365    12    31  2001     26       0  rtu0260              399.209       0.000       0.000     167.144       0.607     167.751     129.262     269.125       3.044      13.749     252.331     167.144      86.308      86.562     372.884     244.340       8.322       0.000       0.000       0.000    1140.022       0.000       0.000       0.000       0.000       0.000     167.144       0.000       0.000       0.607       0.000       0.000     309.917       0.642       0.642     142.965       1.430       7.267       0.433       0.000       0.000       0.000
    365    12    31  2001     27       0  rtu0270              399.209       0.000       0.000      37.848       0.601      38.449      33.607     369.323      13.204      92.810     263.309      37.852      65.734      73.766     176.622     129.322      13.111       0.000       0.000       0.000    1140.143       0.000       0.000       0.000       0.000       0.000      37.852       0.000       0.000       0.601       0.000       0.000      93.543       2.295       2.291      51.358       2.757       3.767       1.537       0.000       0.000       0.000
    365    12    31  2001     28       0  rtu0280              399.217       0.000       0.000    1933.380       1.012    1934.391     272.079     597.868      13.633     139.346     444.889    1934.413      83.589      77.405     385.133     362.449      62.425       0.000       0.000       0.000    1140.072       0.000       0.000       0.000       0.000       0.000    1934.413       0.000       0.000       1.012       0.000       0.000    2559.868    1777.731    1776.697     153.653     981.392      37.007     906.419       0.000       0.000       0.000
    365    12    31  2001     29       0  rtu0290              427.897       0.000       0.000     890.182      19.650     909.832     431.957     528.284       9.600      99.439     419.245     890.260      86.510      87.459     552.230     524.826      53.311       0.000       0.000       0.000    1141.305       0.000       0.000       0.000       0.000       0.000     890.260       0.000       0.000      19.650       0.000       0.000    1674.470     683.982     683.904     232.068     160.137     108.679     122.495       0.000       0.000       0.000
    365    12    31  2001     30       0  rtu0300              534.503       0.000       0.000     597.234       7.408     604.642     252.914     466.747       8.847      88.998     368.902     597.322      82.612      95.547     412.860     363.929      35.701       0.000       0.000       0.000    1145.675       0.000       0.000       0.000       0.000       0.000     597.322       0.000       0.000       7.408       0.000       0.000     948.419     370.389     370.301     158.440     180.720      58.650     133.039       0.000       0.000       0.000
    365    12    31  2001     31       0  rtu0310              534.492       0.000       0.000      54.936       7.431      62.367     133.438     456.932      22.147     243.745     191.040      54.936      56.539      86.726     213.831     204.451      21.768       0.000       0.000       0.000    1145.945       0.000      16.025       0.000       0.000       0.000      54.936       0.000       0.000       7.431       0.000       0.000     160.384       5.611       5.611      63.466       9.544      20.984       5.516       0.000       0.000       0.000
    365    12    31  2001     32       0  rtu0320              534.503       0.000       0.000     323.442      63.149     386.591     233.522     693.774      40.113     608.452      45.209     323.442      58.301     108.878     146.669     375.807      35.717       0.000       0.000       0.000    1145.861       0.000       0.000       0.000       0.000       0.000     323.442       0.000       0.000      63.149       0.000       0.000     798.254     300.306     300.306      18.870     121.880     171.462     112.953       0.000       0.000       0.000
    365    12    31  2001     33       0  rtu0330              534.503       0.000       0.000       8.066       7.871      15.937     134.864     622.102      26.573     397.131     198.398       8.066      56.486      91.454     141.544     259.010      20.763       0.000       0.000       0.000    1145.826       0.000       0.000       0.000       0.000       0.000       8.066       0.000       0.000       7.871       0.000       0.000     263.429       0.000       0.000      25.011       0.959      33.278       0.000       0.000       0.000       0.000
    365    12    31  2001     34       0  rtu0340              534.487       0.000       0.000      76.460       5.635      82.095     155.400     563.085      36.397     470.918      55.769      76.459      56.230      83.215     166.463     226.780      24.929       0.000       0.000       0.000    1145.924       0.000       0.000       0.000       0.000       0.000      76.459       0.000       0.000       5.635       0.000       0.000     307.665      31.925      31.925      41.567      67.414      25.464      40.287       0.000       0.000       0.000
