 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                    in_sed         out_sed        fp_dep         ch_dep        bank_ero        bed_ero         in_no3        in_orgn        out_no3       out_orgn         fp_no3        bank_no3       bed_no3        fp_orgn        ch_orgn        bank_orgn      bed_orgn       in_solp        in_orgp        out_solp       out_orgp       fp_solp        bank_solp      bed_solp       fp_orgp        ch_orgp        bank_orgp      bed_orgp       no3_orgn       solp_orgp      
                                                                    tons            tons          tons           tons            tons           tons           tons           tons           tons          tons           tons           tons           tons           tons            tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons         
   366    12    31  2000      33      33  cha033               0.4360E+05     0.4379E+05     0.0000E+00     0.2064E+02     0.2083E+03     0.1780E+01     0.2183E+06     0.8022E+04     0.2183E+06     0.8020E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1701E+01     0.0000E+00     0.0000E+00     0.1172E+04     0.1131E+04     0.1172E+04     0.1131E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2398E+00     0.0000E+00     0.0000E+00     0.1611E+04     0.8724E+01
   366    12    31  2000      34      34  cha034               0.4355E+05     0.4360E+05     0.0000E+00     0.1118E+03     0.1597E+03     0.0000E+00     0.2183E+06     0.8030E+04     0.2183E+06     0.8021E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8824E+01     0.0000E+00     0.0000E+00     0.1172E+04     0.1132E+04     0.1172E+04     0.1131E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1244E+01     0.0000E+00     0.0000E+00     0.8529E+04     0.4636E+02
   366    12    31  2000      35      35  cha035               0.1008E+07     0.1007E+07     0.0000E+00     0.8263E+03     0.3502E+03     0.8634E+01     0.9999E+06     0.1480E+05     0.9999E+06     0.1480E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4976E+01     0.0000E+00     0.0000E+00     0.4375E+04     0.2147E+04     0.4375E+04     0.2146E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7226E+00     0.0000E+00     0.0000E+00     0.1450E+05     0.6157E+02
   366    12    31  2000      36      36  cha036               0.8781E+06     0.8768E+06     0.6117E+03     0.6542E+03     0.2910E+02     0.1668E+01     0.6946E+06     0.1001E+05     0.6938E+06     0.9839E+04     0.8558E+03     0.0000E+00     0.0000E+00     0.1645E+03     0.2179E+01     0.0000E+00     0.0000E+00     0.2334E+04     0.1445E+04     0.2317E+04     0.1421E+04     0.1691E+02     0.0000E+00     0.0000E+00     0.2368E+02     0.3163E+00     0.0000E+00     0.0000E+00     0.7845E+04     0.2408E+02
   366    12    31  2000      37      37  cha037               0.8789E+06     0.8801E+06     0.0000E+00     0.7294E+01     0.1246E+04     0.5621E+01     0.6344E+06     0.9807E+04     0.6344E+06     0.9807E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3455E-01     0.0000E+00     0.0000E+00     0.1945E+04     0.1414E+04     0.1945E+04     0.1414E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4988E-02     0.0000E+00     0.0000E+00     0.7607E+02     0.2253E+00
   366    12    31  2000      38      38  cha038               0.8570E+06     0.8564E+06     0.3820E+03     0.2989E+03     0.3961E+02     0.9100E+00     0.5661E+06     0.7402E+04     0.5657E+06     0.7339E+04     0.4043E+03     0.0000E+00     0.0000E+00     0.6166E+02     0.7571E+00     0.0000E+00     0.0000E+00     0.1862E+04     0.1061E+04     0.1854E+04     0.1052E+04     0.7888E+01     0.0000E+00     0.0000E+00     0.8822E+01     0.1088E+00     0.0000E+00     0.0000E+00     0.2673E+04     0.7940E+01
   366    12    31  2000      39      39  cha039               0.3974E+06     0.3972E+06     0.1593E+03     0.3836E+03     0.3747E+03     0.2549E+01     0.4986E+06     0.6179E+04     0.4983E+06     0.6102E+04     0.3354E+03     0.0000E+00     0.0000E+00     0.7529E+02     0.1831E+01     0.0000E+00     0.0000E+00     0.1589E+04     0.8754E+03     0.1578E+04     0.8645E+03     0.1182E+02     0.0000E+00     0.0000E+00     0.1059E+02     0.2601E+00     0.0000E+00     0.0000E+00     0.5955E+04     0.1710E+02
   366    12    31  2000      40      40  cha040               0.3656E+06     0.3656E+06     0.5220E+02     0.1198E+03     0.1759E+03     0.6697E+00     0.4158E+06     0.5382E+04     0.4157E+06     0.5357E+04     0.1070E+03     0.0000E+00     0.0000E+00     0.2426E+02     0.5383E+00     0.0000E+00     0.0000E+00     0.1353E+04     0.7593E+03     0.1350E+04     0.7559E+03     0.3546E+01     0.0000E+00     0.0000E+00     0.3391E+01     0.7616E-01     0.0000E+00     0.0000E+00     0.1512E+04     0.4451E+01
   366    12    31  2000      41      41  cha041               0.3664E+06     0.3656E+06     0.5464E+03     0.3340E+03     0.8717E+02     0.9735E+00     0.4158E+06     0.5525E+04     0.4146E+06     0.5382E+04     0.1249E+04     0.0000E+00     0.0000E+00     0.1415E+03     0.1334E+01     0.0000E+00     0.0000E+00     0.1346E+04     0.7794E+03     0.1327E+04     0.7593E+03     0.1942E+02     0.0000E+00     0.0000E+00     0.1984E+02     0.1888E+00     0.0000E+00     0.0000E+00     0.4171E+04     0.1185E+02
   366    12    31  2000      42      42  cha042               0.3661E+06     0.3662E+06     0.0000E+00     0.1756E+02     0.1499E+03     0.2379E+00     0.3994E+06     0.5569E+04     0.3994E+06     0.5569E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9316E-01     0.0000E+00     0.0000E+00     0.1276E+04     0.7854E+03     0.1276E+04     0.7854E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1316E-01     0.0000E+00     0.0000E+00     0.2064E+03     0.6076E+00
