 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap    wet_oflo    wet_stor
    17     1    17  2000       1       1  Tordera                0.031       0.000       0.000       0.674       0.018       0.692       0.270       0.565       0.127       0.273       0.164       0.678      53.981     116.579     118.118     117.349      16.055       1.379       1.379       1.379       0.784       0.000       0.000       0.000       0.000       0.000       0.678       0.000       0.000       0.018       0.000       0.000       2.919       0.678       0.674       1.539       0.174       0.028       0.173       0.000       0.000       0.001
    18     1    18  2000       1       1  Tordera                0.056       0.004       0.000       0.688       0.020       0.707       0.290       1.170       0.023       0.872       0.275       0.695      54.015     118.118     118.876     118.497      15.029       1.379       1.383       1.381       1.606       0.000       0.005       0.000       0.000       0.000       0.695       0.000       0.000       0.020       0.000       0.000       2.894       0.693       0.686       0.758       0.181       0.032       0.181       0.000       0.000       0.001
    19     1    19  2000       1       1  Tordera                0.000       0.000       0.000       0.695       0.022       0.716       0.309       0.841       0.020       0.465       0.356       0.699      54.044     118.876     119.880     119.378      14.379       1.383       1.383       1.383       2.033       0.000       0.000       0.000       0.000       0.000       0.699       0.000       0.000       0.022       0.000       0.000       2.857       0.699       0.695       1.004       0.185       0.035       0.185       0.000       0.000       0.001
    20     1    20  2000       1       1  Tordera                0.000       0.000       0.000       0.703       0.024       0.727       0.326       0.272       0.000       0.141       0.130       0.706      54.069     119.880     121.377     120.629      14.260       1.383       1.383       1.383       0.789       0.000       0.003       0.000       0.000       0.000       0.706       0.000       0.000       0.024       0.000       0.000       2.824       0.705       0.702       1.498       0.188       0.039       0.188       0.000       0.000       0.001
    21     1    21  2000       1       1  Tordera                0.045       0.000       0.000       0.726       0.025       0.751       0.344       0.288       0.038       0.122       0.128       0.731      54.162     121.377     122.816     122.097      14.152       1.383       1.383       1.383       0.894       0.000       0.001       0.000       0.000       0.000       0.731       0.000       0.000       0.025       0.000       0.000       2.784       0.731       0.726       1.439       0.193       0.043       0.193       0.000       0.000       0.001
    22     1    22  2000       1       1  Tordera                0.028       0.004       0.000       0.750       0.027       0.777       0.360       0.224       0.004       0.111       0.110       0.753      54.195     122.816     124.215     123.515      14.055       1.383       1.387       1.385       0.808       0.000       0.011       0.000       0.000       0.000       0.753       0.000       0.000       0.027       0.000       0.000       2.749       0.749       0.746       1.399       0.197       0.047       0.197       0.000       0.000       0.001
    23     1    23  2000       1       1  Tordera                0.000       0.000       0.000       0.742       0.029       0.771       0.376       0.328       0.019       0.113       0.196       0.745      54.237     124.215     125.464     124.839      13.875       1.387       1.387       1.387       1.292       0.000       0.001       0.000       0.000       0.000       0.745       0.000       0.000       0.029       0.000       0.000       2.710       0.745       0.742       1.248       0.200       0.051       0.200       0.000       0.000       0.000
    24     1    24  2000       1       1  Tordera                0.014       0.000       0.000       0.750       0.031       0.781       0.391       0.231       0.001       0.047       0.184       0.753      54.272     125.464     126.758     126.111      13.789       1.387       1.387       1.387       1.352       0.000       0.010       0.000       0.000       0.000       0.753       0.000       0.000       0.031       0.000       0.000       2.677       0.750       0.747       1.295       0.203       0.054       0.203       0.000       0.000       0.000
    25     1    25  2000       1       1  Tordera                0.528       0.281       0.006       0.754       0.032       0.786       0.405       0.213       0.119       0.020       0.074       0.760      54.301     126.758     128.179     127.469      13.869       1.387       1.662       1.524       0.623       0.000       0.016       0.000       0.000       0.000       0.760       0.000       0.000       0.032       0.000       0.000       2.637       0.754       0.749       1.421       0.208       0.058       0.207       0.000       0.000       0.000
    26     1    26  2000       1       1  Tordera                1.208       0.033       0.001       0.787       0.034       0.821       0.419       0.472       0.254       0.136       0.081       0.794      54.315     128.179     130.235     129.207      14.630       1.662       1.694       1.678       0.637       0.000       0.010       0.000       0.000       0.000       0.794       0.000       0.000       0.034       0.000       0.000       2.601       0.769       0.762       2.056       0.215       0.061       0.215       0.000       0.000       0.001
    27     1    27  2000       1       1  Tordera                1.482       0.232       0.000       0.791       0.035       0.826       0.432       0.501       0.229       0.161       0.111       0.795      54.327     130.235     132.286     131.261      15.426       1.694       1.926       1.810       0.603       0.000       0.000       0.000       0.000       0.000       0.795       0.000       0.000       0.035       0.000       0.000       2.562       0.760       0.756       2.051       0.219       0.064       0.218       0.000       0.000       0.001
    28     1    28  2000       1       1  Tordera                0.009       0.001       0.000       0.757       0.036       0.793       0.443       0.482       0.070       0.289       0.123       0.759      54.367     132.286     133.168     132.727      15.092       1.926       1.927       1.927       0.672       0.000       0.000       0.000       0.000       0.000       0.759       0.000       0.000       0.036       0.000       0.000       2.531       0.759       0.756       0.882       0.221       0.067       0.221       0.000       0.000       0.001
    29     1    29  2000       1       1  Tordera                0.075       0.004       0.000       0.752       0.037       0.790       0.454       0.396       0.032       0.229       0.135       0.754      54.385     133.168     134.070     133.619      14.836       1.927       1.931       1.929       0.777       0.000       0.000       0.000       0.000       0.000       0.754       0.000       0.000       0.037       0.000       0.000       2.493       0.754       0.752       0.903       0.223       0.070       0.222       0.000       0.000       0.001
    30     1    30  2000       1       1  Tordera                0.001       0.000       0.000       0.751       0.039       0.789       0.465       0.455       0.035       0.257       0.164       0.750      54.399     134.070     134.860     134.465      14.526       1.931       1.931       1.931       0.948       0.000       0.003       0.000       0.000       0.000       0.750       0.000       0.000       0.039       0.000       0.000       2.462       0.749       0.749       0.790       0.222       0.073       0.222       0.000       0.000       0.001
    31     1    31  2000       1       1  Tordera                0.036       0.000       0.000       0.731       0.040       0.771       0.476       0.344       0.025       0.147       0.172       0.728      54.413     134.860     135.732     135.296      14.352       1.931       1.931       1.931       1.258       0.000       0.000       0.000       0.000       0.000       0.728       0.000       0.000       0.040       0.000       0.000       2.424       0.728       0.731       0.872       0.218       0.075       0.218       0.000       0.000       0.001
    32     2     1  2000       1       1  Tordera                0.012       0.000       0.000       0.722       0.041       0.762       0.485       0.286       0.006       0.106       0.173       0.719      54.435     135.732     136.615     136.174      14.229       1.931       1.931       1.931       1.439       0.000       0.008       0.000       0.000       0.000       0.719       0.000       0.000       0.041       0.000       0.000       2.393       0.716       0.719       0.882       0.216       0.078       0.215       0.000       0.000       0.001
    33     2     2  2000       1       1  Tordera                0.108       0.000       0.000       0.716       0.042       0.757       0.495       0.250       0.064       0.027       0.160       0.713      54.455     136.615     137.584     137.099      14.217       1.931       1.931       1.931       1.067       0.000       0.004       0.000       0.000       0.000       0.713       0.000       0.000       0.042       0.000       0.000       2.357       0.712       0.714       0.969       0.213       0.081       0.213       0.000       0.000       0.001
    34     2     3  2000       1       1  Tordera                0.015       0.000       0.000       0.707       0.043       0.750       0.504       0.224       0.010       0.037       0.177       0.705      54.490     137.584     138.455     138.020      14.139       1.931       1.931       1.931       1.236       0.000       0.003       0.000       0.000       0.000       0.705       0.000       0.000       0.043       0.000       0.000       2.329       0.704       0.706       0.871       0.211       0.083       0.211       0.000       0.000       0.001
    35     2     4  2000       1       1  Tordera                0.016       0.000       0.000       0.698       0.044       0.742       0.512       0.301       0.006       0.043       0.252       0.705      54.529     138.455     139.207     138.831      14.002       1.931       1.931       1.931       1.945       0.000       0.004       0.000       0.000       0.000       0.705       0.000       0.000       0.044       0.000       0.000       2.294       0.703       0.697       0.752       0.217       0.085       0.217       0.000       0.000       0.001
    36     2     5  2000       1       1  Tordera                0.020       0.000       0.000       0.696       0.044       0.741       0.519       0.219       0.006       0.024       0.188       0.701      54.542     139.207     140.008     139.608      13.943       1.931       1.931       1.931       1.594       0.000       0.002       0.000       0.000       0.000       0.701       0.000       0.000       0.044       0.000       0.000       2.264       0.701       0.696       0.801       0.223       0.088       0.223       0.000       0.000       0.000
    37     2     6  2000       1       1  Tordera                0.006       0.000       0.000       0.701       0.045       0.747       0.526       0.172       0.001       0.024       0.146       0.704      54.553     140.008     140.815     140.412      13.917       1.931       1.932       1.932       1.112       0.000       0.014       0.000       0.000       0.000       0.704       0.000       0.000       0.045       0.000       0.000       2.232       0.699       0.697       0.807       0.225       0.090       0.225       0.000       0.000       0.000
    38     2     7  2000       1       1  Tordera                0.007       0.000       0.000       0.691       0.046       0.738       0.532       0.191       0.002       0.024       0.165       0.692      54.563     140.815     141.562     141.189      13.872       1.932       1.932       1.932       1.256       0.000       0.001       0.000       0.000       0.000       0.692       0.000       0.000       0.046       0.000       0.000       2.201       0.692       0.691       0.747       0.226       0.092       0.226       0.000       0.000       0.000
    39     2     8  2000       1       1  Tordera                0.000       0.000       0.000       0.686       0.047       0.733       0.539       0.128       0.000       0.015       0.113       0.685      54.577     141.562     142.334     141.948      13.870       1.932       1.932       1.932       0.895       0.000       0.000       0.000       0.000       0.000       0.685       0.000       0.000       0.047       0.000       0.000       2.172       0.685       0.686       0.772       0.224       0.095       0.224       0.000       0.000       0.000
    40     2     9  2000       1       1  Tordera                0.006       0.000       0.000       0.677       0.048       0.725       0.545       0.225       0.001       0.021       0.203       0.676      54.597     142.334     142.997     142.666      13.811       1.932       1.932       1.932       1.499       0.000       0.006       0.000       0.000       0.000       0.676       0.000       0.000       0.048       0.000       0.000       2.144       0.674       0.676       0.663       0.223       0.097       0.222       0.000       0.000       0.000
    41     2    10  2000       1       1  Tordera                0.016       0.000       0.000       0.665       0.048       0.714       0.550       0.222       0.009       0.021       0.192       0.662      54.636     142.997     143.665     143.331      13.790       1.932       1.932       1.932       1.665       0.000       0.015       0.000       0.000       0.000       0.662       0.000       0.000       0.048       0.000       0.000       2.115       0.656       0.660       0.667       0.219       0.099       0.218       0.000       0.000       0.000
    42     2    11  2000       1       1  Tordera                0.006       0.000       0.000       0.662       0.049       0.711       0.555       0.210       0.002       0.020       0.188       0.666      54.689     143.665     144.300     143.982      13.771       1.932       1.932       1.932       1.635       0.000       0.016       0.000       0.000       0.000       0.666       0.000       0.000       0.049       0.000       0.000       2.088       0.660       0.657       0.635       0.222       0.101       0.222       0.000       0.000       0.000
    43     2    12  2000       1       1  Tordera                0.759       0.279       0.000       0.670       0.049       0.720       0.560       0.367       0.186       0.080       0.101       0.675      54.717     144.300     145.115     144.708      13.945       1.932       2.211       2.072       0.926       0.000       0.006       0.000       0.000       0.000       0.675       0.000       0.000       0.049       0.000       0.000       2.061       0.674       0.668       0.815       0.227       0.103       0.227       0.000       0.000       0.000
    44     2    13  2000       1       1  Tordera                0.007       0.000       0.000       0.664       0.050       0.714       0.565       0.285       0.081       0.057       0.147       0.668      54.747     145.115     145.676     145.396      13.906       2.211       2.211       2.211       1.243       0.000       0.007       0.000       0.000       0.000       0.668       0.000       0.000       0.050       0.000       0.000       2.035       0.665       0.661       0.561       0.231       0.105       0.231       0.000       0.000       0.000
    45     2    14  2000       1       1  Tordera                0.000       0.000       0.000       0.658       0.051       0.709       0.568       0.277       0.001       0.065       0.212       0.658      54.778     145.676     146.149     145.913      13.819       2.211       2.211       2.211       1.754       0.000       0.015       0.000       0.000       0.000       0.658       0.000       0.000       0.051       0.000       0.000       2.009       0.653       0.653       0.474       0.231       0.107       0.231       0.000       0.000       0.000
    46     2    15  2000       1       1  Tordera                0.000       0.000       0.000       0.655       0.051       0.706       0.572       0.224       0.000       0.037       0.187       0.653      54.805     146.149     146.637     146.393      13.762       2.211       2.211       2.211       1.465       0.000       0.005       0.000       0.000       0.000       0.653       0.000       0.000       0.051       0.000       0.000       1.983       0.651       0.653       0.488       0.229       0.109       0.229       0.000       0.000       0.000
    47     2    16  2000       1       1  Tordera                0.022       0.000       0.000       0.655       0.051       0.707       0.575       0.151       0.012       0.016       0.123       0.655      54.825     146.637     147.188     146.913      13.771       2.211       2.211       2.211       0.996       0.000       0.004       0.000       0.000       0.000       0.655       0.000       0.000       0.051       0.000       0.000       1.958       0.654       0.654       0.551       0.229       0.111       0.229       0.000       0.000       0.000
    48     2    17  2000       1       1  Tordera                0.016       0.000       0.000       0.653       0.052       0.705       0.578       0.161       0.009       0.019       0.134       0.654      54.841     147.188     147.692     147.440      13.758       2.211       2.211       2.211       1.109       0.000       0.000       0.000       0.000       0.000       0.654       0.000       0.000       0.052       0.000       0.000       1.934       0.654       0.653       0.503       0.230       0.112       0.230       0.000       0.000       0.000
    49     2    18  2000       1       1  Tordera                0.033       0.000       0.000       0.647       0.052       0.699       0.581       0.209       0.032       0.021       0.156       0.646      54.860     147.692     148.146     147.919      13.722       2.211       2.211       2.211       1.310       0.000       0.000       0.000       0.000       0.000       0.646       0.000       0.000       0.052       0.000       0.000       1.911       0.646       0.647       0.455       0.229       0.114       0.229       0.000       0.000       0.000
    50     2    19  2000       1       1  Tordera                0.006       0.000       0.000       0.645       0.053       0.697       0.583       0.167       0.001       0.020       0.146       0.645      54.881     148.146     148.601     148.374      13.699       2.211       2.211       2.211       1.292       0.000       0.008       0.000       0.000       0.000       0.645       0.000       0.000       0.053       0.000       0.000       1.888       0.643       0.643       0.455       0.230       0.116       0.229       0.000       0.000       0.000
    51     2    20  2000       1       1  Tordera                0.002       0.000       0.000       0.643       0.053       0.696       0.585       0.189       0.001       0.024       0.164       0.643      54.892     148.601     149.008     148.804      13.651       2.211       2.212       2.212       1.423       0.000       0.008       0.000       0.000       0.000       0.643       0.000       0.000       0.053       0.000       0.000       1.866       0.641       0.640       0.407       0.230       0.117       0.230       0.000       0.000       0.000
    52     2    21  2000       1       1  Tordera                0.009       0.002       0.000       0.635       0.053       0.689       0.586       0.208       0.001       0.028       0.179       0.634      54.898     149.008     149.402     149.205      13.612       2.212       2.214       2.213       1.578       0.000       0.018       0.000       0.000       0.000       0.634       0.000       0.000       0.053       0.000       0.000       1.846       0.627       0.629       0.394       0.229       0.119       0.228       0.000       0.000       0.000
    53     2    22  2000       1       1  Tordera                0.011       0.000       0.000       0.627       0.054       0.681       0.588       0.155       0.006       0.021       0.128       0.624      54.907     149.402     149.827     149.614      13.604       2.214       2.214       2.214       1.143       0.000       0.008       0.000       0.000       0.000       0.624       0.000       0.000       0.054       0.000       0.000       1.825       0.622       0.624       0.426       0.226       0.120       0.226       0.000       0.000       0.000
    54     2    23  2000       1       1  Tordera                0.002       0.000       0.000       0.623       0.054       0.677       0.589       0.169       0.001       0.022       0.145       0.623      54.921     149.827     150.207     150.017      13.569       2.214       2.214       2.214       1.298       0.000       0.007       0.000       0.000       0.000       0.623       0.000       0.000       0.054       0.000       0.000       1.805       0.620       0.621       0.380       0.225       0.122       0.225       0.000       0.000       0.000
    55     2    24  2000       1       1  Tordera                0.011       0.000       0.000       0.614       0.054       0.668       0.590       0.202       0.005       0.029       0.167       0.612      54.934     150.207     150.553     150.380      13.518       2.214       2.214       2.214       1.471       0.000       0.006       0.000       0.000       0.000       0.612       0.000       0.000       0.054       0.000       0.000       1.786       0.610       0.612       0.346       0.223       0.123       0.223       0.000       0.000       0.000
    56     2    25  2000       1       1  Tordera                0.001       0.000       0.000       0.602       0.054       0.657       0.591       0.204       0.001       0.028       0.175       0.600      54.951     150.553     150.877     150.715      13.461       2.214       2.214       2.214       1.634       0.000       0.005       0.000       0.000       0.000       0.600       0.000       0.000       0.054       0.000       0.000       1.766       0.598       0.601       0.324       0.220       0.125       0.220       0.000       0.000       0.000
    57     2    26  2000       1       1  Tordera                0.030       0.000       0.000       0.597       0.055       0.652       0.591       0.224       0.014       0.030       0.180       0.595      54.971     150.877     151.207     151.042      13.425       2.214       2.214       2.214       1.720       0.000       0.014       0.000       0.000       0.000       0.595       0.000       0.000       0.055       0.000       0.000       1.747       0.590       0.592       0.330       0.218       0.126       0.218       0.000       0.000       0.000
    58     2    27  2000       1       1  Tordera                0.004       0.000       0.000       0.589       0.055       0.644       0.592       0.181       0.003       0.024       0.154       0.587      54.991     151.207     151.531     151.369      13.388       2.214       2.214       2.214       1.437       0.000       0.006       0.000       0.000       0.000       0.587       0.000       0.000       0.055       0.000       0.000       1.728       0.585       0.587       0.324       0.215       0.128       0.215       0.000       0.000       0.000
    59     2    28  2000       1       1  Tordera                0.013       0.000       0.000       0.591       0.055       0.646       0.592       0.164       0.006       0.022       0.136       0.590      55.011     151.531     151.878     151.704      13.384       2.214       2.214       2.214       1.334       0.000       0.021       0.000       0.000       0.000       0.590       0.000       0.000       0.055       0.000       0.000       1.709       0.582       0.584       0.347       0.214       0.129       0.214       0.000       0.000       0.000
    60     2    29  2000       1       1  Tordera                0.000       0.000       0.000       0.580       0.055       0.635       0.592       0.184       0.000       0.027       0.157       0.578      55.032     151.878     152.166     152.022      13.346       2.214       2.214       2.214       1.457       0.000       0.006       0.000       0.000       0.000       0.578       0.000       0.000       0.055       0.000       0.000       1.690       0.575       0.578       0.289       0.212       0.130       0.211       0.000       0.000       0.000
    61     3     1  2000       1       1  Tordera                0.282       0.000       0.000       0.583       0.055       0.638       0.592       0.292       0.023       0.068       0.200       0.579      55.050     152.166     152.613     152.389      13.492       2.214       2.214       2.214       1.983       0.000       0.008       0.000       0.000       0.000       0.579       0.000       0.000       0.055       0.000       0.000       1.673       0.558       0.562       0.446       0.208       0.131       0.207       0.000       0.000       0.000
    62     3     2  2000       1       1  Tordera                0.008       0.000       0.000       0.550       0.055       0.605       0.592       0.334       0.001       0.087       0.247       0.545      55.066     152.613     152.759     152.686      13.358       2.214       2.214       2.214       2.377       0.000       0.007       0.000       0.000       0.000       0.545       0.000       0.000       0.055       0.000       0.000       1.655       0.542       0.547       0.146       0.203       0.133       0.203       0.000       0.000       0.000
    63     3     3  2000       1       1  Tordera                0.011       0.000       0.000       0.539       0.055       0.595       0.592       0.312       0.005       0.077       0.230       0.534      55.077     152.759     152.925     152.842      13.255       2.214       2.214       2.214       2.274       0.000       0.010       0.000       0.000       0.000       0.534       0.000       0.000       0.055       0.000       0.000       1.638       0.531       0.536       0.167       0.198       0.134       0.198       0.000       0.000       0.000
    64     3     4  2000       1       1  Tordera                0.025       0.000       0.000       0.536       0.056       0.592       0.592       0.266       0.010       0.070       0.186       0.534      55.089     152.925     153.127     153.026      13.184       2.214       2.214       2.214       1.872       0.000       0.003       0.000       0.000       0.000       0.534       0.000       0.000       0.056       0.000       0.000       1.622       0.533       0.535       0.201       0.196       0.135       0.196       0.000       0.000       0.000
    65     3     5  2000       1       1  Tordera                0.011       0.000       0.000       0.538       0.056       0.594       0.592       0.244       0.005       0.064       0.175       0.538      55.101     153.127     153.330     153.228      13.119       2.214       2.214       2.214       1.707       0.000       0.011       0.000       0.000       0.000       0.538       0.000       0.000       0.056       0.000       0.000       1.606       0.534       0.535       0.202       0.196       0.136       0.196       0.000       0.000       0.000
    66     3     6  2000       1       1  Tordera                0.004       0.000       0.000       0.534       0.056       0.590       0.591       0.211       0.001       0.033       0.177       0.532      55.111     153.330     153.549     153.439      13.081       2.214       2.214       2.214       1.674       0.000       0.014       0.000       0.000       0.000       0.532       0.000       0.000       0.056       0.000       0.000       1.590       0.528       0.530       0.220       0.194       0.137       0.194       0.000       0.000       0.000
    67     3     7  2000       1       1  Tordera                0.000       0.000       0.000       0.536       0.056       0.592       0.591       0.177       0.000       0.028       0.149       0.535      55.120     153.549     153.790     153.670      13.063       2.214       2.214       2.214       1.499       0.000       0.019       0.000       0.000       0.000       0.535       0.000       0.000       0.056       0.000       0.000       1.574       0.528       0.529       0.241       0.193       0.138       0.193       0.000       0.000       0.000
    68     3     8  2000       1       1  Tordera                0.012       0.000       0.000       0.526       0.056       0.582       0.590       0.216       0.006       0.031       0.179       0.525      55.128     153.790     153.983     153.887      13.017       2.214       2.214       2.214       1.950       0.000       0.008       0.000       0.000       0.000       0.525       0.000       0.000       0.056       0.000       0.000       1.559       0.522       0.523       0.193       0.192       0.139       0.191       0.000       0.000       0.000
    69     3     9  2000       1       1  Tordera                0.006       0.000       0.000       0.511       0.056       0.567       0.589       0.269       0.001       0.041       0.227       0.509      55.133     153.983     154.122     154.053      12.948       2.214       2.214       2.214       2.588       0.000       0.010       0.000       0.000       0.000       0.509       0.000       0.000       0.056       0.000       0.000       1.543       0.505       0.508       0.139       0.189       0.140       0.189       0.000       0.000       0.000
    70     3    10  2000       1       1  Tordera                0.000       0.000       0.000       0.496       0.056       0.552       0.588       0.322       0.000       0.052       0.270       0.492      55.143     154.122     154.207     154.165      12.849       2.214       2.214       2.214       3.099       0.000       0.011       0.000       0.000       0.000       0.492       0.000       0.000       0.056       0.000       0.000       1.529       0.489       0.493       0.085       0.185       0.141       0.184       0.000       0.000       0.000
    71     3    11  2000       1       1  Tordera                0.013       0.000       0.000       0.491       0.056       0.547       0.587       0.263       0.001       0.042       0.220       0.486      55.150     154.207     154.362     154.285      12.816       2.214       2.214       2.214       2.686       0.000       0.015       0.000       0.000       0.000       0.486       0.000       0.000       0.056       0.000       0.000       1.514       0.481       0.485       0.155       0.180       0.142       0.180       0.000       0.000       0.000
