 Tordera                  
  SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                               
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   366    12    31  2000     225    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     226    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     227    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     228    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     229    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     230    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     231    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     232    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     233    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     234    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     235    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     236    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     237    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     238    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     239    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     240    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     241    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     242    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000     243    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000     244    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000     245    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000     246    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000     247    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000     248    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000     249    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000     250    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000     251    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000     252    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000     253    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000     254    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000     255    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000     256    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000     257    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000     258    agrl                        0.000       0.000       0.000       0.000
   366    12    31  2000     259    agrl                        0.000       0.000       0.000       0.000
   366    12    31  2000     260    agrl                        0.000       0.000       0.000       0.000
   366    12    31  2000     261    agrl                        0.000       0.000       0.000       0.000
   366    12    31  2000     262    agrl                        0.000       0.000       0.000       0.000
   366    12    31  2000     263    agrl                        0.000       0.000       0.000       0.000
   366    12    31  2000     264    agrl                        0.000       0.000       0.000       0.000
   366    12    31  2000     265    agrl                        0.000       0.000       0.000       0.000
   366    12    31  2000     266    agrl                        0.000       0.000       0.000       0.000
   366    12    31  2000     267    agrl                        0.000       0.000       0.000       0.000
   366    12    31  2000     268    agrl                        0.000       0.000       0.000       0.000
   366    12    31  2000     269    agrl                        0.000       0.000       0.000       0.000
   366    12    31  2000     270    agrl                        0.000       0.000       0.000       0.000
   366    12    31  2000     271    agrl                        0.000       0.000       0.000       0.000
   366    12    31  2000     272    agrl                        0.000       0.000       0.000       0.000
   366    12    31  2000     273    agrl                        0.000       0.000       0.000       0.000
   366    12    31  2000     274    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     275    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     276    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     277    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     278    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     279    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     280    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     281    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     282    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     283    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     284    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     285    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     294    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     295    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     296    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     297    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     298    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     299    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     300    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     301    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     302    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     303    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     304    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     305    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     306    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     307    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     308    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     325    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     326    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     327    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     328    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     329    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     330    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     343    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000     344    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000     345    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000     346    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000     347    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000     348    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000     349    agrr                        0.000       0.000       0.000       0.000
   366    12    31  2000     350    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     351    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     352    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     353    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     354    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     355    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2000     356    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     357    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     358    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     359    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     360    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     361    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     362    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     363    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     364    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     365    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     366    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     367    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     368    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     369    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     370    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     371    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     372    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     373    crir                        0.000       0.000       0.000       0.000
   366    12    31  2000     374    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     375    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     376    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     377    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     378    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     379    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     380    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     381    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     382    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     383    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     384    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     385    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     386    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     387    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     388    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     389    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     390    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     391    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     392    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     393    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     394    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     395    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     396    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     397    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     398    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     399    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     400    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     401    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     402    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     403    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     404    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     405    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     406    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     407    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     408    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     409    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     410    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     411    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     412    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     413    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     414    frse                        0.000       0.000       0.000       0.000
   366    12    31  2000     415    past                        0.000       0.000       0.000       0.000
   366    12    31  2000     416    past                        0.000       0.000       0.000       0.000
   366    12    31  2000     417    past                        0.000       0.000       0.000       0.000
   366    12    31  2000     418    past                        0.000       0.000       0.000       0.000
