real_name,alpha,awc,canmx,cn2,cn3_swf,epco,esco,lat_len,latq_co,perco,petco,revap_co,surlag
45,83.0406,21.9827,27.5788,184.867,199,61.8543,109.886,64.2459,9.87629,146.51,59.3018,140.148,131.011
46,106.614,27.1651,29.2179,100.3,124.551,199,144.341,110.831,43.0231,149.572,60.609,64.5069,77.8419
47,159.914,26.6866,146.537,199,169.627,199,148.001,83.139,101.072,99.5925,51.4159,141.977,188.892
48,199,5.53462,124.393,73.1939,90.9297,51.296,150.362,87.3884,92.5046,116.697,44.8372,199,106.214
49,92.5321,32.6098,169.992,199,127.705,199,9.1824,39.8459,64.1506,196.375,74.2356,97.0845,20.4011
51,115.18,11.1543,64.7381,199,14.3903,199,134.982,27.8593,33.3096,97.78,59.84,187.016,180.134
52,199,25.5589,67.2671,199,13.919,183.265,88.032,170.57,24.1015,112.762,55.3318,199,149.903
53,59.1634,70.5083,139.297,199,182.003,83.5043,41.3153,54.4589,62.2241,120.058,49.5151,55.9396,16.5418
54,148.463,19.5162,153.511,32.0168,42.027,199,45.1804,45.4077,94.7141,119.772,61.3495,16.9827,8.04264
55,80.4074,6.88598,39.3704,143.309,6.84994,144.809,82.6286,34.3565,52.8072,129.528,88.6138,57.5607,13.9531
56,59.1846,51.3514,161.789,199,199,122.166,135.36,199,73.5164,178.934,58.8204,199,176.88
57,105.927,38.8753,74.6729,199,134.061,116.572,18.5095,199,11.2279,100.52,59.542,86.8947,163.9
58,199,55.0006,179.215,118.318,43.3766,199,33.092,139.12,92.7569,114.022,55.0752,78.1033,199
59,74.6832,66.9594,163.125,199,191.682,8.67044,7.05383,23.0999,25.5821,104.951,47.452,183.832,27.9482
60,199,41.2032,39.7116,141.156,9.59917,175.16,7.93734,83.7989,23.822,87.3438,75.7961,108.341,199
61,58.5894,29.8285,190.737,35.0375,154.101,199,69.9315,199,38.1498,199,70.5934,124.902,177.316
62,96.7126,42.3786,148.105,99.0704,132.491,25.5521,49.2109,156.525,89.5983,92.7,48.9744,13.4316,62.9269
64,67.7457,20.6481,82.4538,199,54.8582,199,64.4797,81.7392,28.9916,112.733,60.1033,199,198.693
65,67.6063,32.3079,39.5129,199,81.7413,199,119.134,182.56,5.74833,165.713,61.773,199,156.298
66,185.795,46.262,112.293,197.79,63.2663,15.5969,42.7629,199,87.348,135.828,71.5761,87.8157,83.9101
67,174.798,19.5885,84.1816,199,151.647,199,36.7418,56.3928,27.5136,128.046,59.5537,21.8841,179.431
69,198.264,25.222,148.903,18.5307,120.371,199,20.636,101.251,7.63137,51.6274,40.5285,161.423,26.5471
70,139.633,18.5065,161.793,71.9994,106.023,121.813,40.5232,40.4278,93.1921,93.4339,49.2988,48.252,153.511
71,184.633,42.3763,8.36686,199,26.9574,199,72.2238,103.542,33.6014,108.18,63.9034,61.6461,154.281
73,146.74,37.2786,165.082,199,109.415,199,32.5353,153.982,23.4173,96.7423,54.0033,186.298,188.531
74,75.0493,27.9462,32.3185,79.6151,154.78,159.633,69.416,199,22.2922,155.031,55.5014,104.978,184.979
75,111.208,18.6504,33.0545,199,105.437,199,44.1345,38.9898,77.7791,107.556,64.7149,199,117.729
