 april24                   SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
   365    12    31  2017      10     100  aqu100                    0.000          4.057        297.081         14.217          0.711         22.393          1.435          0.000          0.500          0.000         12.361         12.195          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      11     110  aqu110                    0.000          4.057        297.083         14.221          0.711         22.393          1.436          0.000          0.500          0.000         12.368         12.201          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      12     120  aqu120                    0.000          3.480        325.959         20.320          1.016         22.393          0.782          0.000          0.500          0.000          6.704          6.705          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      13     130  aqu130                    0.000          4.057        297.083         14.221          0.711         22.393          1.436          0.000          0.500          0.000         12.367         12.200          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      14     140  aqu140                    0.000          3.466        326.631         20.373          1.019         22.393          0.803          0.000          0.500          0.000          6.876          6.878          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      15     150  aqu150                    0.000          4.057        297.082         14.220          0.711         22.393          1.436          0.000          0.500          0.000         12.367         12.200          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      16     160  aqu160                    0.000          3.453        327.281         20.497          1.025         22.393          0.828          0.000          0.500          0.000          7.092          7.094          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      17     170  aqu170                    0.000          4.057        297.083         14.221          0.711         22.393          1.436          0.000          0.500          0.000         12.368         12.201          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      18     180  aqu180                    0.000          3.434        328.243         20.689          1.034         22.393          0.855          0.000          0.500          0.000          7.319          7.322          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      19     190  aqu190                    0.000          4.057        297.082         14.219          0.711         22.393          1.436          0.000          0.500          0.000         12.365         12.198          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      20     200  aqu200                    0.000          4.057        297.078         14.212          0.711         22.393          1.434          0.000          0.500          0.000         12.353         12.187          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      21     210  aqu210                    0.000          3.501        324.861         20.019          1.001         22.393          0.739          0.000          0.500          0.000          6.329          6.330          0.000          0.003          0.000          0.000          0.000
   365    12    31  2017      22     220  aqu220                    0.000          4.057        297.079         14.213          0.711         22.393          1.434          0.000          0.500          0.000         12.355         12.188          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      23     230  aqu230                    0.000          4.057        297.082         14.220          0.711         22.393          1.436          0.000          0.500          0.000         12.366         12.200          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      24     240  aqu240                    0.000          3.401        329.875         21.630          1.081         22.393          0.958          0.000          0.500          0.000          8.186          8.199          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      25     250  aqu250                    0.000          3.427        328.573         20.852          1.043         22.393          0.869          0.000          0.500          0.000          7.443          7.446          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017      26     260  aqu260                    0.000          4.057        297.082         14.220          0.711         22.393          1.436          0.000          0.500          0.000         12.365         12.199          0.000          0.004          0.000          0.000          0.000
