 april24                   SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor 
                                                                         m^3/s   
    59     2    28  2018         1     1  april24               0.2825E-02     0.0000E+00     0.2941E-02     0.4837E-02     0.4049E-07     0.1145E-07     0.1145E-07     0.0000E+00     0.1145E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.6464E-02     0.0000E+00     0.1331E-01     0.4375E-04
    90     3    31  2018         1     1  april24               0.5030E-02     0.0000E+00     0.5313E-02     0.9046E-02     0.3996E-07     0.1123E-07     0.1123E-07     0.0000E+00     0.1123E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1109E-01     0.0000E+00     0.2264E-01     0.6363E-06
   120     4    30  2018         1     1  april24               0.1723E+02     0.0000E+00     0.1665E+02     0.3055E+02     0.6783E-01     0.7302E-01     0.3391E-01     0.0000E+00     0.3250E-01     0.3666E-01     0.2452E-02     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.1056E-02     0.1732E-02     0.0000E+00     0.5085E+02     0.0000E+00     0.4907E+02     0.2903E+01
   151     5    31  2018         1     1  april24               0.1422E+03     0.0000E+00     0.1385E+03     0.2408E+03     0.3728E+01     0.4990E+01     0.1864E+01     0.0000E+00     0.1781E+01     0.3114E+01     0.1266E-01     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.4838E-01     0.6337E-02     0.0000E+00     0.3540E+03     0.0000E+00     0.3465E+03     0.9417E+02
   181     6    30  2018         1     1  april24               0.1921E+03     0.0000E+00     0.1897E+03     0.3166E+03     0.6139E+01     0.9059E+01     0.3070E+01     0.0000E+00     0.2906E+01     0.5972E+01     0.1704E-01     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.8782E-01     0.7815E-02     0.0000E+00     0.4527E+03     0.0000E+00     0.4487E+03     0.1226E+03
   212     7    31  2018         1     1  april24               0.2771E+03     0.0000E+00     0.2749E+03     0.4365E+03     0.5272E+01     0.8954E+01     0.2636E+01     0.0000E+00     0.2539E+01     0.6311E+01     0.7428E-02     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.6012E-01     0.3399E-02     0.0000E+00     0.5428E+03     0.0000E+00     0.5358E+03     0.1959E+03
   243     8    31  2018         1     1  april24               0.3549E+03     0.0000E+00     0.3552E+03     0.5505E+03     0.6629E+01     0.1268E+02     0.3314E+01     0.0000E+00     0.3168E+01     0.9362E+01     0.2228E-02     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.7985E-01     0.2907E-02     0.0000E+00     0.6684E+03     0.0000E+00     0.6691E+03     0.2037E+03
   273     9    30  2018         1     1  april24               0.2070E+03     0.0000E+00     0.2118E+03     0.3206E+03     0.9982E+01     0.1651E+02     0.4991E+01     0.0000E+00     0.4720E+01     0.1152E+02     0.4462E-02     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.1335E+00     0.2217E-02     0.0000E+00     0.4142E+03     0.0000E+00     0.4189E+03     0.3142E+03
   304    10    31  2018         1     1  april24               0.6102E+02     0.0000E+00     0.6006E+02     0.1033E+03     0.2118E+01     0.2191E+01     0.1059E+01     0.0000E+00     0.1021E+01     0.1125E+01     0.7447E-02     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.2568E-01     0.2405E-02     0.0000E+00     0.1572E+03     0.0000E+00     0.1528E+03     0.1381E+03
   334    11    30  2018         1     1  april24               0.6566E+01     0.0000E+00     0.7379E+01     0.9264E+01     0.5319E-01     0.2737E-01     0.2660E-01     0.0000E+00     0.2612E-01     0.0000E+00     0.7756E-03     0.0000E+00     0.4823E+01     0.3132E+00     0.1850E-02     0.0000E+00     0.5473E-03     0.0000E+00     0.8759E+01     0.0000E+00     0.1113E+02     0.1272E+02
