real_name,obd_irr_paddy_20160531,obd_irr_paddy_20160630,obd_irr_paddy_20160731,obd_irr_paddy_20160831,obd_irr_paddy_20160930,obd_irr_paddy_20170531,obd_irr_paddy_20170630,obd_irr_paddy_20170731,obd_irr_paddy_20170831,obd_irr_paddy_20170930,obd_irr_paddy_20180531,obd_irr_paddy_20180630,obd_irr_paddy_20180731,obd_irr_paddy_20180831,obd_irr_paddy_20180930,obd_irr_paddy_20190531,obd_irr_paddy_20190630,obd_irr_paddy_20190731,obd_irr_paddy_20190831,obd_irr_paddy_20190930,obd_irr_paddy_20200531,obd_irr_paddy_20200630,obd_irr_paddy_20200731,obd_irr_paddy_20200831,obd_irr_paddy_20200930,obd_irr_paddy_20210531,obd_irr_paddy_20210630,obd_irr_paddy_20210731,obd_irr_paddy_20210831,obd_irr_paddy_20210930,obd_irr_paddy_20220531,obd_irr_paddy_20220630,obd_irr_paddy_20220731,obd_irr_paddy_20220831,obd_irr_paddy_20220930,ns,pbias,rsq,rmse,mse,pcc
98,438.782,478.094,640.202,541.496,181.348,456.616,472.335,627.107,544.566,161.462,438.722,439.611,653.922,575.506,170.208,439.0,468.958,648.026,573.677,172.581,408.901,451.286,607.54,575.124,177.259,428.151,428.265,595.532,531.458,148.0,446.116,473.293,629.232,609.962,185.274,0.697482226772771,1.240497504085487,0.7036372220530756,113.61926229465546,12909.336764381715,0.8388308661780846
99,363.006,394.411,579.963,491.995,159.06,376.66,391.299,557.527,482.481,140.517,369.761,353.2,575.048,505.843,141.595,367.721,373.845,542.094,510.646,150.957,339.363,363.113,519.522,503.945,153.06,363.092,338.896,504.078,452.086,133.251,335.984,349.498,544.842,525.19,158.437,0.5726268380968564,-14.15669222649857,0.6905543945685243,135.04550730495714,18237.289043253233,0.8309960256033264
100,419.184,458.257,623.866,527.32,175.033,437.014,451.085,611.947,529.804,156.419,421.65,418.172,635.151,558.489,164.849,421.071,450.311,630.247,558.335,167.624,391.586,430.502,593.85,557.871,171.59,411.393,412.698,578.455,518.63,143.677,422.092,449.096,613.049,588.151,178.534,0.6958201535908034,-2.21967242268245,0.7071392590354277,113.93095448714236,12980.262390351305,0.8409157264764572
101,363.006,395.743,571.41,480.941,156.73,371.002,382.379,554.83,480.697,138.794,362.485,343.241,566.615,511.504,138.205,358.166,375.526,561.768,510.73,150.017,332.357,359.554,536.032,507.094,152.205,356.553,347.597,517.551,471.224,126.875,340.498,357.575,555.581,533.446,156.547,0.5828843982723593,-14.076737281667384,0.6971734863653487,133.41502283987245,17799.56831936369,0.8349691529423998
102,438.782,478.094,639.932,541.327,181.274,456.616,472.335,626.674,544.724,161.598,438.722,439.612,653.521,575.319,170.327,439.0,468.959,647.778,573.741,172.924,408.901,451.296,607.714,574.877,177.346,428.151,428.293,595.257,531.704,148.172,446.116,475.857,629.775,609.925,185.519,0.697980620084899,1.2568187584338315,0.7042670198801065,113.52563073353734,12888.068833447478,0.8392061843671712
103,363.006,393.912,573.064,488.462,157.902,371.226,382.194,560.955,483.047,138.477,361.943,343.241,573.178,510.712,138.213,357.975,375.525,567.278,511.443,148.944,328.804,359.549,542.682,510.06,152.041,352.471,347.582,525.572,471.218,126.202,344.032,357.596,565.253,530.035,156.412,0.5905300419637478,-13.784055588004223,0.6988745379382627,132.18663272651781,17473.305871575314,0.8359871637401275
104,363.006,394.411,579.963,491.995,159.06,376.66,390.513,571.934,492.583,142.817,369.761,359.036,583.67,513.81,146.974,369.573,383.794,551.494,514.044,152.43,339.363,369.427,548.468,507.683,153.12,363.382,357.528,515.298,464.263,132.102,348.258,357.178,545.778,528.47,160.546,0.6007218450232336,-12.963602133142723,0.7022015897733642,130.5311886109622,17038.391200190592,0.8379746951867725
105,363.26,395.464,580.178,492.167,159.137,376.913,388.011,560.821,485.247,139.427,369.989,347.808,576.398,510.822,140.554,368.751,377.005,559.379,511.141,148.969,339.586,362.303,539.059,509.99,152.538,363.461,348.525,517.61,470.768,126.621,345.473,358.065,555.437,528.959,156.264,0.5909844777435405,-13.426306493672325,0.6957342070830836,132.11326102936118,17453.913739812127,0.8341068319364634
106,438.782,478.094,639.907,541.06,181.154,456.616,472.335,626.584,543.836,161.352,438.722,439.611,653.205,574.526,170.157,439.0,468.958,647.61,573.043,172.443,408.901,451.286,607.171,574.418,177.151,428.151,428.265,595.205,530.925,147.926,446.116,475.764,629.635,608.596,185.049,0.697733747610219,1.201723324147344,0.703971269403438,113.5720195257373,12898.603619154455,0.839029957393321
107,363.006,393.739,572.972,489.004,159.062,372.35,383.141,559.145,482.394,138.442,363.921,343.39,572.077,508.476,138.268,359.575,375.53,566.318,509.975,148.854,333.159,359.546,538.746,508.962,152.35,357.663,347.575,522.86,466.803,128.854,344.292,358.791,562.573,528.561,156.201,0.587043261736568,-13.807295774097886,0.6966421625117427,132.7482474314353,17622.097196117567,0.8346509225489077
108,438.782,478.094,641.154,543.004,181.868,456.616,472.335,629.28,547.363,161.87,438.722,439.612,655.308,578.732,170.431,438.199,462.965,646.009,576.219,173.333,408.901,443.823,606.18,577.622,177.73,427.622,419.953,592.421,531.704,147.268,440.67,465.275,631.548,613.232,185.985,0.6940342086459366,1.126683957096369,0.6995009047370715,114.26492897801393,13056.473994350566,0.8363617068811027
109,363.006,393.504,571.312,486.206,159.06,370.64,382.368,556.59,476.796,138.714,362.063,343.245,569.255,500.668,139.609,357.872,375.525,564.428,503.257,149.72,328.426,359.544,538.905,503.007,153.02,351.95,347.567,523.359,451.163,133.429,343.4,357.41,558.442,530.197,157.048,0.5775804427797679,-14.228896175637265,0.6946427061450928,134.26058222331324,18025.90393894305,0.8334522818644705
