real_name,alpha,awc,canmx,cn2,cn3_swf,epco,esco,lat_len,latq_co,perco,petco,revap_co,surlag
82,85.11,7.85544,176.594,30.6443,160.865,10.3598,154.051,177.505,110.084,139.187,91.1652,174.843,199
83,61.688,53.4189,165.304,76.0142,181.378,65.1902,78.901,124.776,55.5444,163.771,45.2115,178.914,199
84,134.788,106.064,171.721,199,86.2634,38.5907,138.578,13.2725,130.397,116.991,44.5222,199,199
85,19.8599,4.19864,6.21268,182.518,77.1663,74.7295,73.8069,151.023,37.1206,125.568,27.9407,35.9762,55.2707
86,199,91.4662,199,199,159.59,199,154.9,13.2926,102.387,85.0844,37.0099,6.9841,155.984
87,199,32.0525,68.7801,192.393,17.7933,104.422,40.7545,194.333,54.2993,13.9154,61.6901,22.2409,193.213
88,32.3659,5.2961,16.4719,199,8.29157,199,139.685,37.8194,45.7373,91.7066,70.6374,109.254,124.968
89,89.25,63.0887,154.063,4.41591,4.03958,87.7691,89.8878,190.171,131.935,173.886,52.3273,171.945,130.123
90,54.5469,27.5825,122.316,199,190.017,68.0454,24.7877,63.9607,28.7156,152.05,54.4231,187.485,198.695
91,60.5962,35.7461,5.81591,109.585,56.0561,85.2523,164.12,165.287,84.1865,113.439,58.1898,121.352,153.058
92,101.96,37.5131,199,108.472,94.1247,135.437,137.252,49.9202,131.466,136.69,43.9185,199,45.5593
93,57.1245,82.3636,156.301,196.996,189.51,199,166.808,171.001,78.8511,118.521,45.4743,89.3337,35.7637
94,62.5474,23.0201,172.896,158.278,157.892,39.9697,91.4317,50.2828,6.3183,114.854,38.7219,28.1269,190.137
95,55.7601,5.78122,123.544,53.764,190.349,199,129.337,11.9403,122.887,181.929,101.374,177.565,117.864
96,73.8898,40.701,99.7681,199,178.609,199,67.075,191.628,134.013,148.577,49.9471,99.7216,168.279
97,199,5.4567,167.553,34.7124,19.7041,23.7444,168.368,132.423,147.169,28.4552,39.9315,181.641,6.71848
98,61.8562,28.2635,168.363,197.887,72.3936,17.7076,142.994,8.0272,31.7519,114.757,61.7519,24.1027,130.785
