iteration,total_runs,obs_realization,par_realization,val,cal
2,649,93,93,0,511.233
2,649,94,94,0,550.942
2,649,95,95,0,444.637
2,649,96,96,0,445.298
2,649,97,97,0,442.28
2,649,98,98,0,442.668
2,649,99,99,0,450.56
2,649,100,100,0,431.939
2,649,101,101,0,853.557
2,649,102,102,0,454.916
2,649,103,103,0,419.49
2,649,104,104,0,523.127
2,649,105,105,0,429.511
2,649,106,106,0,485.755
2,649,107,107,0,442.722
2,649,108,108,0,558.83
2,649,109,109,0,498.272
2,649,110,110,0,418.152
2,649,111,111,0,410.536
2,649,112,112,0,450.237
2,649,113,113,0,411.116
2,649,114,114,0,434.536
2,649,115,115,0,610.439
2,649,116,116,0,443.871
2,649,117,117,0,475.173
2,649,118,118,0,427.495
2,649,119,119,0,394.236
2,649,120,120,0,417.889
2,649,121,121,0,445.55
2,649,122,122,0,434.448
2,649,123,123,0,435.115
2,649,124,124,0,428.096
2,649,125,125,0,405.361
2,649,126,126,0,442.563
2,649,127,127,0,431.452
2,649,128,128,0,534.21
2,649,129,129,0,435.987
2,649,130,130,0,453.539
2,649,131,131,0,463.362
2,649,132,132,0,487.034
2,649,133,133,0,457.487
2,649,135,135,0,435.122
2,649,136,136,0,494.325
2,649,137,137,0,444.923
2,649,138,138,0,463.78
2,649,139,139,0,478.998
2,649,140,140,0,427.394
2,649,141,141,0,425.467
2,649,142,142,0,404.926
2,649,143,143,0,462.194
2,649,144,144,0,585.407
2,649,145,145,0,457.748
2,649,146,146,0,422.163
2,649,147,147,0,428.362
2,649,148,148,0,475.568
2,649,149,149,0,415.642
2,649,150,150,0,488.995
2,649,151,151,0,480.189
2,649,152,152,0,429.31
2,649,153,153,0,555.639
2,649,154,154,0,463.019
2,649,155,155,0,446.695
2,649,156,156,0,468.863
2,649,157,157,0,457.219
2,649,158,158,0,470.771
2,649,159,159,0,428.055
2,649,160,160,0,490.242
2,649,161,161,0,456.022
2,649,162,162,0,449.233
2,649,163,163,0,472.504
2,649,164,164,0,476.23
2,649,165,165,0,400.212
2,649,166,166,0,455.245
2,649,167,167,0,420.737
2,649,168,168,0,432.584
2,649,169,169,0,481.591
2,649,170,170,0,435.54
2,649,171,171,0,418.629
2,649,172,172,0,470.19
2,649,173,173,0,855.599
2,649,174,174,0,472.686
2,649,175,175,0,411.434
2,649,176,176,0,447.858
2,649,177,177,0,396.649
2,649,178,178,0,481.114
2,649,179,179,0,401.363
2,649,180,180,0,446.938
2,649,181,181,0,423.991
2,649,182,182,0,458.208
2,649,183,183,0,415.902
2,649,184,184,0,434.733
2,649,185,185,0,492.267
2,649,186,186,0,435.945
2,649,187,187,0,415.378
2,649,189,189,0,418.657
2,649,190,190,0,412.774
2,649,191,191,0,486.952
2,649,192,192,0,453.734
2,649,194,194,0,469.591
2,649,195,195,0,480.705
2,649,196,196,0,421.327
2,649,197,197,0,537.583
2,649,198,198,0,422.586
2,649,base,base,0,418.679
3,870,0,0,0,415.656
3,870,1,1,0,440.061
3,870,2,2,0,435.957
3,870,4,4,0,388.332
3,870,5,5,0,439.017
3,870,6,6,0,414.236
3,870,7,7,0,592.181
3,870,8,8,0,440.151
3,870,9,9,0,473.147
3,870,10,10,0,437.303
3,870,11,11,0,509.961
3,870,12,12,0,400.961
3,870,13,13,0,412.956
3,870,14,14,0,473.759
3,870,15,15,0,419.611
3,870,16,16,0,617.22
3,870,17,17,0,420.878
3,870,18,18,0,448.861
3,870,19,19,0,422.399
3,870,20,20,0,469.406
3,870,21,21,0,412.34
3,870,22,22,0,479.98
3,870,23,23,0,561.24
3,870,24,24,0,470.831
3,870,25,25,0,422.008
3,870,26,26,0,425.497
3,870,27,27,0,427.854
3,870,28,28,0,478.411
3,870,29,29,0,431.199
3,870,30,30,0,511.069
3,870,31,31,0,436.922
3,870,32,32,0,503.018
3,870,33,33,0,425.209
3,870,34,34,0,593.761
3,870,35,35,0,434.698
3,870,36,36,0,408.97
3,870,37,37,0,404.591
3,870,38,38,0,450.352
3,870,39,39,0,424.565
3,870,40,40,0,416.875
3,870,41,41,0,436.254
3,870,42,42,0,467.767
3,870,43,43,0,400.684
3,870,44,44,0,482.776
3,870,45,45,0,447.626
3,870,46,46,0,426.26
3,870,47,47,0,428.279
3,870,48,48,0,607.041
3,870,49,49,0,408.03
3,870,50,50,0,424.448
3,870,51,51,0,427.404
3,870,52,52,0,408.988
3,870,53,53,0,498.84
3,870,54,54,0,522.382
3,870,55,55,0,433.124
3,870,56,56,0,472.743
3,870,57,57,0,422.041
3,870,58,58,0,513.944
3,870,59,59,0,473.763
3,870,60,60,0,432.325
3,870,61,61,0,518.774
3,870,62,62,0,456.623
3,870,63,63,0,478.418
3,870,64,64,0,444.638
3,870,65,65,0,440.004
3,870,66,66,0,463.244
3,870,67,67,0,407.468
3,870,68,68,0,509.87
3,870,69,69,0,468.24
3,870,70,70,0,430.295
3,870,71,71,0,398.938
3,870,73,73,0,430.007
3,870,74,74,0,446.659
3,870,75,75,0,406.733
3,870,76,76,0,412.104
3,870,77,77,0,415.526
3,870,78,78,0,495.421
3,870,80,80,0,431.49
3,870,81,81,0,471.242
3,870,82,82,0,407.156
3,870,83,83,0,467.445
3,870,84,84,0,448.36
3,870,85,85,0,621.816
3,870,86,86,0,502.604
3,870,87,87,0,412.173
3,870,88,88,0,404.476
3,870,89,89,0,436.088
3,870,90,90,0,450.05
3,870,91,91,0,440.701
3,870,92,92,0,437.729
3,870,93,93,0,479.283
3,870,94,94,0,511.728
3,870,95,95,0,429.486
3,870,96,96,0,440.22
3,870,97,97,0,440.703
3,870,98,98,0,442.072
3,870,99,99,0,463.321
3,870,100,100,0,428.332
3,870,101,101,0,400.505
3,870,102,102,0,455.694
3,870,103,103,0,421.682
3,870,104,104,0,485.12
3,870,105,105,0,420.884
3,870,106,106,0,421.315
3,870,107,107,0,456.57
3,870,108,108,0,451.504
3,870,109,109,0,470.258
3,870,110,110,0,426.338
3,870,111,111,0,411.228
3,870,112,112,0,429.512
3,870,113,113,0,404.131
3,870,114,114,0,428.936
3,870,115,115,0,448.897
3,870,116,116,0,432.12
3,870,117,117,0,452.392
3,870,118,118,0,430.649
3,870,119,119,0,392.112
3,870,120,120,0,418.244
3,870,121,121,0,433.404
3,870,123,123,0,433.586
3,870,124,124,0,410.955
3,870,125,125,0,398.54
3,870,126,126,0,434.423
3,870,127,127,0,433.24
3,870,128,128,0,591.479
3,870,129,129,0,414.176
3,870,130,130,0,437.323
3,870,131,131,0,458.725
3,870,132,132,0,456.897
3,870,133,133,0,430.341
3,870,135,135,0,431.486
3,870,136,136,0,454.619
3,870,137,137,0,429.792
3,870,138,138,0,440.39
3,870,139,139,0,454.977
3,870,140,140,0,424.999
3,870,141,141,0,524.133
3,870,142,142,0,407.457
3,870,143,143,0,457.404
3,870,144,144,0,506.839
3,870,145,145,0,434.139
3,870,146,146,0,418.948
3,870,147,147,0,435.502
3,870,148,148,0,456.469
3,870,149,149,0,400.849
3,870,150,150,0,476.885
3,870,152,152,0,412.511
3,870,154,154,0,440.634
3,870,155,155,0,600.835
3,870,156,156,0,435.617
3,870,157,157,0,429.547
