 april24                   SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
   365    12    31  2023      54     540  aqu540                    0.000          4.623        266.953          3.259          0.163         11.936          0.608          0.000          0.500          0.000          5.179          5.176          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      55     550  aqu550                    0.000          4.585        268.856          5.899          0.295         14.755          0.376          0.000          0.500          0.000          3.227          3.222          0.000          0.001          0.000          0.000          0.000
   365    12    31  2023      56     560  aqu560                    0.000          4.623        266.953          3.259          0.163         11.938          0.608          0.000          0.500          0.000          5.181          5.178          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      57     570  aqu570                    0.000          4.623        266.959          3.265          0.163         11.942          0.610          0.000          0.500          0.000          5.197          5.194          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      58     580  aqu580                    0.000          3.594        318.381         20.658          1.033         22.331          0.735          0.000          0.500          0.000          6.303          6.295          0.000          0.003          0.000          0.000          0.000
   365    12    31  2023      59     590  aqu590                    0.000          4.623        266.934          3.271          0.164         11.949          0.612          0.000          0.500          0.000          5.215          5.212          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      60     600  aqu600                    0.000          4.607        267.732          5.190          0.259         13.988          0.321          0.000          0.500          0.000          2.753          2.748          0.000          0.001          0.000          0.000          0.000
   365    12    31  2023      61     610  aqu610                    0.000          4.623        266.960          3.266          0.163         11.943          0.611          0.000          0.500          0.000          5.201          5.198          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      62     620  aqu620                    0.000          4.613        267.431          5.007          0.250         13.778          0.297          0.000          0.500          0.000          2.546          2.541          0.000          0.001          0.000          0.000          0.000
   365    12    31  2023      63     630  aqu630                    0.000          4.623        266.936          3.271          0.164         11.947          0.612          0.000          0.500          0.000          5.215          5.212          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      64     640  aqu640                    0.000          4.588        268.679          5.763          0.288         14.623          0.368          0.000          0.500          0.000          3.162          3.157          0.000          0.001          0.000          0.000          0.000
   365    12    31  2023      65     650  aqu650                    0.000          4.601        268.015          5.374          0.269         14.187          0.336          0.000          0.500          0.000          2.886          2.881          0.000          0.001          0.000          0.000          0.000
   365    12    31  2023      66     660  aqu660                    0.000          4.623        266.941          3.239          0.162         11.912          0.601          0.000          0.500          0.000          5.122          5.120          0.000          0.002          0.000          0.000          0.000
