real_name,alpha,awc,canmx,cn2,cn3_swf,epco,esco,lat_len,latq_co,perco,petco,revap_co,surlag,ns,pbias,rsq,rmse,mse,pcc
61,5.27038,199,18.1413,6.63792,90.7364,1,199,164.668,199,181.46,122.886,8.82006,57.5465,0.699099282,-0.281417861,0.706199038,113.3151895,12840.33218,0.840356495
62,176.664,199,17.799,6.88296,84.4917,1,199,165.11,199,181.753,122.799,2.56836,17.4322,0.699102242,-0.299550454,0.706225781,113.3146322,12840.20588,0.840372406
63,12.8417,199,15.9455,28.8932,54.1379,1,199,163.903,199,51.5981,122.831,6.02791,72.4642,0.699102718,-0.292260294,0.706217504,113.3145427,12840.18558,0.840367482
64,63.3097,199,14.2162,53.6827,15.5487,1,199,153.207,196.029,173.975,123.965,18.0397,76.8223,0.699044102,-0.054622831,0.705878241,113.3255791,12842.68687,0.840165603
65,19.0705,199,5.74485,42.0743,22.6703,1,199,163.761,54.1413,180.343,123.107,25.9953,66.1647,0.699106851,-0.231109994,0.706148573,113.3137644,12840.00921,0.840326468
66,174.571,199,17.7894,51.542,72.5507,1,199,164.518,199,52.5884,122.492,6.16401,29.7451,0.699107308,-0.363683383,0.706316718,113.3136784,12839.98971,0.840426509
67,178.248,199,13.8024,60.2915,91.1345,1,199,164.717,199,181.558,122.997,2.80972,71.3047,0.699100819,-0.25681437,0.706171122,113.3149002,12840.2666,0.840339885
68,177.617,199,12.094,3.44787,6.39574,1,199,164.613,199,113.392,123.079,21.2994,66.6444,0.699099989,-0.239008201,0.706148627,113.3150564,12840.302,0.8403265
69,180.224,199,17.2458,2.51768,69.9174,1,199,163.856,52.7428,12.4379,123.028,14.4642,7.18159,0.699095402,-0.251597969,0.706157572,113.3159201,12840.49775,0.840331822
70,177.569,199,17.752,13.5171,59.5815,1,199,142.191,199,181.477,122.961,7.27251,46.2413,0.699097566,-0.265736656,0.70617748,113.3155127,12840.40542,0.840343668
71,177.224,199,1.37762,60.0883,10.5046,1,199,163.897,199,97.1141,122.928,6.16282,49.8141,0.699120015,-0.26697195,0.70620888,113.3112856,12839.44744,0.84036235
72,91.6757,199,11.624,12.5134,8.54823,1,199,96.5829,199,116.137,122.795,12.6809,59.1088,0.699109853,-0.298347162,0.70623462,113.3131991,12839.88109,0.840377665
73,175.857,199,18.6804,31.6746,92.8064,1,199,165.3,199,128.278,122.868,26.5055,69.957,0.699099426,-0.285283758,0.706204061,113.3151625,12840.32605,0.840359483
74,144.167,199,6.24373,11.4613,91.3422,1,199,163.567,199,180.067,122.557,12.1027,71.1975,0.699122167,-0.346171637,0.706313148,113.3108804,12839.35561,0.840424385
75,153.457,199,4.50598,61.1444,89.6345,1,199,88.9013,199,151.562,122.848,24.7806,39.5931,0.699118112,-0.28479732,0.706228488,113.311644,12839.52867,0.840374017
76,118.738,199,17.7448,4.32525,44.9007,1,199,163.724,85.4366,12.2697,122.791,14.0366,21.4642,0.69910244,-0.301220983,0.706228151,113.3145949,12840.19742,0.840373816
77,176.684,199,17.6093,16.1897,22.6468,1,199,164.355,199,181.253,122.592,7.28912,70.7628,0.699106096,-0.342760175,0.706287135,113.3139065,12840.0414,0.84040891
78,36.0113,199,17.2076,53.1691,57.4652,1,199,164.174,199,38.9651,123.027,22.1768,56.5365,0.699095347,-0.251700377,0.706157676,113.3159305,12840.50011,0.840331884
79,73.4665,199,15.2946,12.5729,55.1572,1,199,147.965,187.922,71.3532,123.521,6.45242,81.5716,0.699073954,-0.147916401,0.706011431,113.3199586,12841.41301,0.840244864
80,173.587,199,1.19653,27.0372,92.9731,1,199,164.741,199,67.4494,122.551,28.4952,12.9768,0.699128981,-0.34555719,0.706321273,113.3095974,12839.06486,0.840429219
81,181.348,199,2.18038,33.2255,74.5531,1.00444,199,148.987,190.014,48.173,123.368,8.03657,10.6824,0.699100371,-0.175246501,0.706076006,113.3149845,12840.28572,0.840283289
82,175.539,199,18.1365,5.72388,92.3342,1,199,164.525,199,181.37,122.543,26.6194,52.2496,0.699106327,-0.353026564,0.706301012,113.313863,12840.03155,0.840417165
83,99.3242,199,17.1713,13.5876,90.1964,1,199,163.81,199,180.394,122.663,23.7966,71.1744,0.699105918,-0.327789425,0.706267125,113.3139401,12840.04901,0.840397004
84,176.296,199,18.1746,44.9186,52.1378,1,199,38.1342,199,78.6491,122.573,23.8847,72.5384,0.699106345,-0.346894893,0.706292814,113.3138596,12840.03079,0.840412288
85,31.3226,199,1,34.6165,92.2525,1,199,166.2,199,71.9277,122.784,3.50773,15.3763,0.699125037,-0.296958255,0.706252894,113.31034,12839.23315,0.840388537
86,176.615,199,16.9596,56.5756,80.5199,1,199,31.5735,199,59.2979,122.971,1.29263,50.0599,0.699097491,-0.263394076,0.706174628,113.3155267,12840.4086,0.840341971
87,176.609,199,12.0901,60.272,6.24337,1,199,164.793,199,13.5822,122.786,2.89149,64.4254,0.69910903,-0.300254508,0.706236088,113.3133541,12839.91622,0.840378539
88,66.6824,178.42,2.32396,61.1375,4.39425,1,199,116.935,199,136.112,123.028,13.1496,39.8648,0.699227493,-0.229170645,0.706268706,113.2910457,12834.86104,0.840397945
89,178.911,199,17.291,1.11105,1.51397,1,199,163.526,199,180.229,122.873,24.0091,43.8538,0.699100525,-0.283869249,0.706203857,113.3149555,12840.27914,0.840359362
90,106.151,199,17.1231,58.5201,89.9975,1,199,163.092,199,179.384,122.813,29.1624,57.2467,0.699102067,-0.296401412,0.706221697,113.3146652,12840.21335,0.840369976
91,42.631,199,1,21.2808,62.7084,1,199,164.605,199,74.6911,122.892,17.2986,54.9744,0.699121501,-0.27424931,0.706219904,113.3110057,12839.38402,0.84036891
92,52.41,199,17.2742,20.7579,48.6693,1,199,131.19,199,43.7329,122.879,23.3104,18.4807,0.699099937,-0.282678758,0.70620168,113.3150663,12840.30425,0.840358067
93,45.0407,199,17.6848,49.4474,144.473,1,199,140.371,175.407,121.948,123.794,9.73838,16.9206,0.699053731,-0.091534467,0.705926384,113.3237662,12842.27598,0.840194254
94,80.2489,199,17.643,29.384,91.938,1,199,164.451,66.4204,75.2789,122.729,2.87869,57.5102,0.699103825,-0.314028367,0.706246527,113.3143341,12840.13831,0.840384749
95,134.593,199,16.1171,12.6242,94.2408,1,199,37.1718,199,179.342,123.05,23.3611,34.0415,0.699096243,-0.246643988,0.706152664,113.3157619,12840.46189,0.840328902
96,176.322,199,15.1601,59.8699,84.0383,1,199,163.937,199,180.663,122.667,13.8463,52.1393,0.699107661,-0.326195702,0.706267624,113.3136118,12839.97462,0.840397301
97,174.31,199,17.4158,7.08856,5.5363,1,199,164.338,199,25.7111,122.576,28.9792,1.73098,0.699106807,-0.345902817,0.706292263,113.3137726,12840.01106,0.84041196
98,88.797,199,18.2237,29.9062,59.6874,1,199,39.3879,199,113.412,122.81,3.06733,47.4337,0.699101285,-0.29727828,0.706221655,113.3148125,12840.24673,0.840369951
99,179.029,199,17.155,24.311,30.9394,1,199,163.853,199,33.4633,122.819,27.3353,67.3876,0.699102065,-0.295031707,0.706219986,113.3146656,12840.21344,0.840368958
100,55.3677,199,4.1795,62.0361,24.0832,1,199,12.3093,199,17.7386,122.906,6.65177,16.161,0.699117076,-0.272418769,0.70621166,113.311839,12839.57287,0.840364005
101,176.315,199,2.62523,61.9789,50.2226,1,199,165.366,199,132.504,122.711,11.8367,58.4529,0.699124629,-0.312665062,0.706272366,113.3104169,12839.25057,0.840400123
102,173.958,199,4.25613,28.0206,23.8565,1,199,165.101,199,181.993,122.676,23.8655,27,0.699122573,-0.320550468,0.706279982,113.3108039,12839.33829,0.840404654
103,176.711,199,17.8765,42.7741,14.3146,1,199,18.5763,199,181.126,122.66,4.61666,56.3712,0.699105004,-0.328685493,0.706267039,113.3141122,12840.08803,0.840396953
104,77.445,199,14.7953,33.5667,12.2621,1,199,152.652,129.149,173.331,123.33,7.24044,32.8597,0.699085056,-0.187637853,0.706069659,113.3178681,12840.93924,0.840279513
105,177.33,199,18.1333,5.61292,91.383,1,199,164.912,199,91.1674,122.97,20.3344,7.6324,0.699096616,-0.264002122,0.706174089,113.3156915,12840.44594,0.84034165
